#radek	#sloupec	#hodnota
0	0	0,69
0	1	1,34
0	2	1,88
0	3	2,33
0	4	2,73
0	5	2,99
0	6	2,99
0	7	2,77
0	8	2,45
0	9	1,95
0	10	1,41
0	11	0,86
1	0	1,07
1	1	1,83
1	2	2,47
1	3	3,09
1	4	3,77
1	5	4,02
1	6	4,06
1	7	3,79
1	8	3,43
1	9	2,68
1	10	2,1
1	11	1,35
2	0	1,47
2	1	2,29
2	2	3,19
2	3	4,13
2	4	4,8
2	5	5,31
2	6	5,24
2	7	5,08
2	8	4,38
2	9	3,86
2	10	2,64
2	11	1,86
3	0	1,9
3	1	2,98
3	2	3,92
3	3	5
3	4	6,37
3	5	6,95
3	6	7,37
3	7	6,55
3	8	5,56
3	9	4,33
3	10	3,13
3	11	2,25
4	0	2,07
4	1	3,22
4	2	4,53
4	3	5,76
4	4	7,86
4	5	9,29
4	6	9,87
4	7	8,21
4	8	6,55
4	9	5,02
4	10	3,68
4	11	2,54
5	0	2,24
5	1	3,38
5	2	4,6
5	3	6,21
5	4	8,43
5	5	10,6
5	6	10,59
5	7	8,86
5	8	6,86
5	9	5,28
5	10	3,87
5	11	2,66
6	0	2,18
6	1	3,33
6	2	4,8
6	3	5,72
6	4	8,2
6	5	9,75
6	6	9,8
6	7	8,32
6	8	6,6
6	9	5,19
6	10	3,76
6	11	2,63
7	0	2,09
7	1	3,18
7	2	4,22
7	3	5,17
7	4	7,05
7	5	7,57
7	6	8
7	7	7,05
7	8	5,68
7	9	4,71
7	10	3,41
7	11	2,38
8	0	1,68
8	1	2,72
8	2	3,42
8	3	4,27
8	4	5,38
8	5	5,96
8	6	6,05
8	7	5,84
8	8	4,78
8	9	3,88
8	10	2,9
8	11	2
9	0	1,46
9	1	2,27
9	2	2,81
9	3	3,66
9	4	4,12
9	5	4,44
9	6	4,41
9	7	4,3
9	8	3,57
9	9	3,07
9	10	2,22
9	11	1,48
10	0	1,03
10	1	1,62
10	2	2,39
10	3	2,74
10	4	3,06
10	5	3,48
10	6	4
10	7	3,13
10	8	2,79
10	9	2,15
10	10	1,69
10	11	0,97
11	0	0,85
11	1	1,21
11	2	1,67
11	3	1,89
11	4	2,36
11	5	2,4
11	6	2,4
11	7	2,3
11	8	1,91
11	9	1,49
11	10	0,99
11	11	0,77
