#U [V]	5	10	15	20	25	30	35	40	45	50	55
-25	0,03	0,03	0,04	0,06	0,06	0,07	0,11	0,11	0,10	0,13	0,12
-20	0,04	0,05	0,07	0,09	0,11	0,18	0,19	0,17	0,22	0,16	0,24
-15	0,04	0,06	0,09	0,24	0,28	0,35	0,30	0,32	0,37	0,33	0,30
-10	0,11	0,31	0,63	0,82	0,79	0,70	0,62	0,63	0,61	0,49	0,48
-5	2,22	3,67	2,57	2,20	1,70	1,35	1,23	1,17	0,90	0,77	0,63
0	10,2	8,28	5,67	4,02	2,84	2,28	1,74	1,60	1,15	1,07	0,83
5	4,78	4,29	3,49	2,76	2,35	1,97	1,61	1,52	1,13	0,99	0,79
10	0,34	0,43	1,35	1,17	1,28	1,22	1,03	1,08	0,86	0,70	0,66
15	0,09	0,18	0,39	0,37	0,49	0,61	0,55	0,51	0,55	0,37	0,54
20	0,04	0,07	0,13	0,17	0,23	0,32	0,37	0,26	0,37	0,31	0,33
25	0,02	0,04	0,08	0,05	0,14	0,16	0,17	0,19	0,18	0,21	0,27
