5.12.2014	16:26:22
Pa
Time[s]	Hydrogen	Time[s]	Helium	Time[s]	Water	Time[s]	Oxygen	Time[s]	OH	Time[s]	Nitrogen/Carbonmon
2,165	1,362401E-07	2,696	-6,912796E-09	3,447	1,266336E-07	3,958	6,835864E-09	0,533	3,448822E-08	1,084	8,139265E-10
6,261	1,365168E-07	6,822	-8,070304E-09	7,643	1,264147E-07	8,174	6,485964E-09	4,719	3,392095E-08	5,240	1,668801E-09
10,497	1,357500E-07	11,268	-8,110220E-09	11,779	1,253918E-07	12,530	6,543052E-09	8,955	3,409152E-08	9,466	2,147100E-09
14,723	1,348749E-07	15,254	-7,857513E-09	15,995	1,246866E-07	16,516	6,615756E-09	13,041	3,408910E-08	13,642	2,024192E-09
18,859	1,349749E-07	19,420	-8,269113E-09	20,221	1,250783E-07	20,752	6,236592E-09	17,307	3,338460E-08	17,828	1,569407E-09
23,085	1,348666E-07	23,636	-8,237330E-09	24,397	1,241178E-07	24,918	6,484708E-09	21,543	3,383232E-08	22,054	5,211176E-10
27,361	1,338174E-07	27,902	-8,078320E-09	28,663	1,236300E-07	29,174	6,527861E-09	25,729	3,363980E-08	26,280	6,106740E-10
31,497	1,336099E-07	32,068	-8,430676E-09	32,869	1,238264E-07	33,400	6,025370E-09	29,945	3,366712E-08	30,466	1,224944E-09
35,723	1,335818E-07	36,284	-8,375567E-09	37,045	1,238235E-07	37,556	6,131991E-09	34,181	3,326125E-08	34,692	3,330503E-10
40,030	1,326388E-07	40,540	-7,140737E-09	41,291	1,231845E-07	42,043	7,231668E-09	38,397	3,328311E-08	38,938	1,609091E-10
44,156	1,324769E-07	44,716	-7,622104E-09	45,518	1,225590E-07	46,048	5,796808E-09	42,593	3,330418E-08	43,114	1,209800E-09
48,372	1,318994E-07	48,922	-8,547951E-09	49,684	1,225661E-07	50,455	6,900663E-09	46,809	3,303125E-08	47,330	4,885096E-10
52,648	1,316666E-07	53,399	-7,431978E-09	53,910	1,221571E-07	54,661	6,032881E-09	51,045	3,280159E-08	51,586	1,118448E-09
56,804	1,315244E-07	57,365	-8,274515E-09	58,176	1,216690E-07	58,696	5,793275E-09	55,171	3,267100E-08	55,732	1,447517E-09
60,790	1,314859E-07	61,581	-8,011951E-10	62,101	1,216047E-07	62,872	6,823644E-09	59,488	3,300838E-08	60,008	2,440734E-10
65,046	1,297422E-07	65,807	6,640510E-09	66,327	1,207673E-07	67,079	7,177651E-09	63,433	3,252931E-08	63,974	4,230715E-10
69,222	1,299281E-07	69,762	-4,061863E-09	70,544	1,199866E-07	71,054	5,985950E-09	67,589	3,228290E-08	68,160	3,135381E-10
73,378	1,293512E-07	74,189	-4,565185E-09	74,710	1,204103E-07	75,250	5,972244E-09	71,805	3,233362E-08	72,346	4,428802E-10
77,624	1,295502E-07	78,415	-3,941018E-09	78,936	1,199572E-07	79,446	6,126721E-09	76,041	3,202529E-08	76,572	3,815681E-10
81,850	1,285011E-07	82,381	-4,981391E-09	83,162	1,195403E-07	83,672	5,610012E-09	80,207	3,120307E-08	80,758	7,115771E-10
85,966	1,291968E-07	86,757	-4,959020E-09	87,278	1,197567E-07	87,838	6,573356E-09	84,434	3,190480E-08	84,944	1,319667E-10
90,242	1,281736E-07	90,993	-4,753113E-09	91,514	1,198306E-07	92,265	6,300802E-09	88,650	3,130864E-08	89,180	1,166728E-10
94,398	1,274519E-07	94,939	-6,922932E-09	95,529	1,183736E-07	96,281	5,672673E-09	92,775	3,167436E-08	93,537	1,411746E-10
98,374	1,279116E-07	99,125	-7,140194E-09	99,685	1,176002E-07	100,246	6,489238E-09	96,811	3,213019E-08	97,592	4,638303E-10
102,610	1,271568E-07	103,361	-7,255579E-09	103,871	1,176881E-07	104,623	5,401658E-09	101,037	3,115250E-08	101,568	6,866835E-10
106,776	1,263635E-07	107,316	-7,250078E-09	108,098	1,181843E-07	108,598	5,409047E-09	105,133	3,104831E-08	105,924	-3,355226E-11
110,882	1,268900E-07	111,633	-7,452362E-09	112,193	1,176725E-07	112,744	6,167853E-09	109,349	3,086903E-08	109,860	2,547443E-10
115,098	1,242919E-07	115,849	2,064819E-07	116,369	1,189404E-07	117,121	5,461213E-09	113,525	3,072148E-08	114,056	1,310967E-10
119,324	1,248140E-07	119,894	1,695864E-08	120,666	1,168586E-07	121,176	5,447592E-09	117,641	3,204302E-08	118,202	3,102439E-10
123,279	1,256788E-07	124,030	8,612207E-09	124,601	1,167346E-07	125,152	5,758421E-09	121,937	3,070088E-08	122,498	-9,487355E-11
127,515	1,238094E-07	128,277	1,242137E-07	128,787	1,187814E-07	129,538	5,401673E-09	125,933	3,079015E-08	126,464	-1,327902E-09
131,732	1,234145E-07	132,262	7,380512E-08	133,023	1,178344E-07	133,534	5,196481E-09	130,049	3,173607E-08	130,620	-9,406445E-10
135,857	1,241660E-07	136,619	1,540617E-08	137,199	1,164089E-07	137,750	5,328329E-09	134,285	3,080520E-08	134,826	-7,863668E-10
