5.12.2014	16:37:33
Pa
Time[s]	Hydrogen	Time[s]	Helium	Time[s]	Water	Time[s]	Oxygen	Time[s]	OH	Time[s]	Nitrogen/Carbonmon
25,408	8,944414E-08	25,959	-4,315039E-09	26,740	7,455764E-08	27,281	1,257476E-09	23,726	1,845037E-08	24,297	-1,703936E-09
29,594	9,521794E-08	30,436	-1,556747E-09	30,996	7,629398E-08	31,527	1,368853E-09	28,032	1,841267E-08	28,563	-2,772854E-09
33,860	9,083519E-08	34,612	-1,137406E-09	35,122	7,537987E-08	35,873	1,859039E-09	32,308	1,869226E-08	32,819	-2,908108E-09
38,057	9,251762E-08	38,637	6,859133E-10	39,388	7,784856E-08	39,909	1,889390E-09	36,384	1,924820E-08	36,965	-1,574072E-09
42,233	9,451200E-08	43,024	3,153452E-09	43,574	7,746374E-08	44,115	1,963317E-09	40,670	1,921476E-08	41,191	-2,356587E-09
46,258	9,552205E-08	47,069	5,687141E-09	47,590	7,853930E-08	48,111	2,178107E-09	44,946	1,908191E-08	45,467	-2,333027E-09
50,544	9,726712E-08	51,075	9,875674E-09	51,866	7,952149E-08	52,387	1,847428E-09	48,872	1,963020E-08	49,453	-1,992522E-09
54,741	9,902776E-08	55,582	1,442513E-08	56,122	8,219802E-08	56,663	2,041432E-09	53,148	2,026303E-08	53,719	-2,511904E-09
58,776	1,015408E-07	59,537	2,103830E-08	60,058	8,196444E-08	60,819	3,031087E-09	57,434	2,077565E-08	57,985	-2,741623E-09
62,982	1,037918E-07	63,503	2,939142E-08	64,294	8,430279E-08	64,815	2,424593E-09	61,340	2,128899E-08	61,891	-2,123912E-09
67,198	1,052490E-07	67,739	4,054522E-08	68,540	8,653996E-08	69,081	2,501573E-09	65,586	2,152454E-08	66,157	-1,830871E-09
71,414	1,088968E-07	72,166	5,518461E-08	72,686	8,871123E-08	73,447	2,896427E-09	69,862	2,239843E-08	70,373	-1,662616E-09
75,631	1,100522E-07	76,141	7,394253E-08	76,902	9,083890E-08	77,423	3,014742E-09	73,998	2,255337E-08	74,539	-6,634181E-10
79,736	1,133313E-07	80,297	1,055710E-07	81,098	9,480490E-08	81,639	2,970840E-09	78,184	2,270224E-08	78,695	-1,488718E-09
83,782	1,156331E-07	84,543	1,355151E-07	85,074	9,905626E-08	85,835	4,214830E-09	82,410	2,432335E-08	82,991	-4,487354E-10
88,038	1,184594E-07	88,579	1,797204E-07	89,380	1,031758E-07	89,901	3,626211E-09	86,376	2,524334E-08	86,957	-7,975054E-10
92,014	1,238075E-07	92,565	2,350217E-07	93,356	1,093161E-07	93,897	3,845517E-09	90,672	2,656361E-08	91,233	-9,418531E-10
96,230	1,294074E-07	96,991	3,148622E-07	97,502	1,138019E-07	98,253	4,784965E-09	94,658	2,798335E-08	95,189	-9,442362E-10
100,456	1,361335E-07	100,977	4,210596E-07	101,738	1,194083E-07	102,259	5,657551E-09	98,794	2,989458E-08	99,365	5,349177E-10
104,592	1,460982E-07	105,153	5,661369E-07	105,934	1,273911E-07	106,475	6,206521E-09	103,020	3,223594E-08	103,551	8,957900E-10
108,798	1,595738E-07	109,559	7,713124E-07	110,110	1,402277E-07	110,631	7,483193E-09	107,236	3,588299E-08	107,757	2,885322E-09
113,064	1,790736E-07	113,585	1,094811E-06	114,346	1,544726E-07	114,867	8,184389E-09	111,442	4,061637E-08	111,993	4,315672E-09
117,190	2,092341E-07	117,751	1,508893E-06	118,532	1,859614E-07	119,093	1,062545E-08	115,628	4,713144E-08	116,139	8,282730E-09
121,166	2,565419E-07	121,687	2,085499E-06	122,448	2,384419E-07	122,969	1,524751E-08	119,594	5,968236E-08	120,365	1,338031E-08
125,382	3,363736E-07	125,903	2,996554E-06	126,674	3,436036E-07	127,195	2,307383E-08	123,770	8,212379E-08	124,311	2,235724E-08
129,508	4,667344E-07	130,059	4,378802E-06	130,880	5,676841E-07	131,411	3,680999E-08	127,956	1,280744E-07	128,477	3,756173E-08
133,484	6,940010E-07	134,004	6,562839E-06	134,756	1,033349E-06	135,276	5,838943E-08	131,921	2,102203E-07	132,683	6,547976E-08
