5.12.2014	15:39:08
Pa
Time[s]	Hydrogen	Time[s]	Helium	Time[s]	Water	Time[s]	Oxygen	Time[s]	OH	Time[s]	Nitrogen/Carbonmon
119,251	1,949501E-07	119,762	-2,891609E-09	120,513	1,386034E-07	121,024	1,047556E-08	121,825	4,247942E-08	122,336	3,752155E-09
123,467	1,929021E-07	123,998	-2,738546E-09	124,769	1,396469E-07	125,310	1,078756E-08	126,061	4,228330E-08	126,582	3,820908E-09
127,663	1,925009E-07	128,184	-3,007215E-09	128,945	1,378360E-07	129,516	8,742510E-09	130,117	4,115549E-08	130,898	4,867383E-09
131,729	1,924680E-07	132,240	-2,301295E-09	133,001	1,448620E-07	133,512	9,894134E-09	134,303	4,188689E-08	134,814	3,814533E-09
135,925	1,907124E-07	136,456	-2,325924E-09	137,217	1,383346E-07	137,728	9,679153E-09	138,479	4,217274E-08	138,990	3,846645E-09
140,011	1,906624E-07	140,762	-2,868399E-09	141,293	1,385744E-07	141,844	9,655948E-09	142,675	4,167989E-08	143,196	3,948536E-09
144,247	1,904029E-07	144,998	-1,171726E-09	145,509	1,438988E-07	146,260	1,006890E-08	146,781	4,246918E-08	147,552	3,607555E-09
148,443	1,899221E-07	148,994	-2,672512E-09	149,755	1,370453E-07	150,266	9,763681E-09	151,017	4,114655E-08	151,528	4,221602E-09
152,599	1,902806E-07	153,120	-1,729813E-09	153,921	1,464147E-07	154,472	9,979327E-09	155,263	4,182406E-08	155,774	3,135472E-09
156,815	1,904274E-07	157,346	-3,709123E-09	158,137	1,390232E-07	158,708	1,071949E-08	159,459	4,173925E-08	160,010	3,897664E-09
161,101	1,899946E-07	161,632	-2,802439E-09	162,383	1,371658E-07	162,934	8,451557E-09	163,685	4,044992E-08	164,196	3,687374E-09
165,267	1,896350E-07	165,788	-2,512488E-09	166,599	1,367750E-07	167,140	9,682060E-09	167,931	4,033435E-08	168,432	3,731583E-09
169,473	1,891016E-07	170,224	-3,020794E-09	170,735	1,363616E-07	171,516	8,269514E-09	172,047	4,041716E-08	172,598	4,636454E-09
173,679	1,888483E-07	174,220	-2,698322E-09	174,961	1,366940E-07	175,482	8,873842E-09	176,243	4,051082E-08	176,754	3,957549E-09
177,785	1,884349E-07	178,556	-3,121400E-09	179,097	1,383244E-07	179,628	8,384329E-09	180,399	4,025933E-08	180,910	4,176724E-09
181,961	1,880489E-07	182,712	-1,796191E-09	183,223	1,376170E-07	183,974	8,515945E-09	184,495	4,028749E-08	185,046	3,486200E-09
186,157	1,879222E-07	186,678	-3,011128E-09	187,429	1,375629E-07	187,990	9,624194E-09	188,741	4,033981E-08	189,252	3,552862E-09
190,343	1,884603E-07	190,894	-1,747227E-09	191,725	1,356906E-07	192,336	9,698546E-09	192,857	4,081581E-08	193,608	3,517440E-09
194,419	1,864234E-07	195,180	-1,784073E-09	195,691	1,371546E-07	196,452	9,958261E-09	196,993	4,191234E-08	197,544	4,112373E-09
198,625	1,853567E-07	199,146	-3,287759E-09	199,917	1,383312E-07	200,428	1,029729E-08	201,179	4,142537E-08	201,700	4,549525E-09
202,771	1,844682E-07	203,312	-2,830610E-09	204,103	1,374498E-07	204,634	9,374652E-09	205,395	4,133162E-08	205,926	4,380727E-09
206,947	1,850124E-07	207,698	-3,090480E-09	208,209	1,374154E-07	208,970	8,194458E-09	209,501	4,093780E-08	210,052	3,477896E-09
211,193	1,851995E-07	211,694	-1,579886E-09	212,445	1,372566E-07	212,956	9,799663E-09	213,707	4,140010E-08	214,228	3,955668E-09
215,309	1,856734E-07	215,850	-2,662598E-09	216,641	1,410271E-07	217,242	9,808828E-09	217,763	4,120277E-08	218,524	7,028324E-09
219,375	1,882060E-07	219,896	-1,794815E-09	220,647	1,362350E-07	221,158	9,421434E-09	221,949	3,934905E-08	222,490	4,104184E-09
223,591	1,836874E-07	224,122	-1,513760E-09	224,883	1,352526E-07	225,394	9,542826E-09	226,175	3,992875E-08	226,686	3,314030E-09
227,767	1,835176E-07	228,318	-2,054353E-09	229,099	1,359067E-07	229,640	9,098363E-09	230,391	3,960645E-08	230,902	3,421033E-09
231,973	1,837050E-07	232,494	-1,944495E-09	233,245	1,347226E-07	233,766	9,031904E-09	234,617	3,950584E-08	235,148	3,448784E-09
236,269	1,832700E-07	236,790	-2,744324E-09	237,551	1,356189E-07	238,062	9,725496E-09	238,843	3,951681E-08	239,354	3,566051E-09
240,405	1,812927E-07	240,946	-2,206116E-09	241,727	1,343509E-07	242,258	9,296319E-09	243,009	3,955748E-08	243,520	4,465561E-09
244,541	1,841779E-07	245,292	-3,132496E-09	245,803	1,368697E-07	246,594	9,496994E-09	247,145	3,980425E-08	247,676	3,495530E-09
248,797	1,852223E-07	249,308	-1,609575E-09	250,069	1,356658E-07	250,580	9,527101E-09	251,371	3,881719E-08	251,892	3,251593E-09
252,993	1,839257E-07	253,544	-1,818308E-09	254,345	1,349418E-07	254,856	9,324890E-09	255,607	4,013373E-08	256,128	3,423409E-09
