5.12.2014	15:55:55
Pa
Time[s]	Hydrogen	Time[s]	Helium	Time[s]	Water	Time[s]	Oxygen	Time[s]	OH	Time[s]	Nitrogen/Carbonmon
3,007	8,481480E-07	3,537	-6,032149E-09	0,112	8,293501E-07	0,623	6,410105E-08	1,374	2,659856E-07	1,925	3,447079E-08
7,163	8,527583E-07	7,703	-6,434737E-09	4,288	8,470580E-07	4,809	6,359397E-08	5,570	2,677889E-07	6,131	3,400005E-08
11,369	8,582799E-07	12,160	-5,970228E-09	8,504	8,446489E-07	9,035	6,554791E-08	9,816	2,708042E-07	10,337	3,537502E-08
15,615	8,619338E-07	16,125	-6,316521E-09	12,680	8,516727E-07	13,191	6,648222E-08	13,962	2,732014E-07	14,533	3,512526E-08
19,731	8,645515E-07	20,542	-6,505906E-09	16,886	8,667126E-07	17,638	6,538663E-08	18,148	2,748009E-07	18,689	3,589770E-08
23,927	8,679201E-07	24,728	-6,045949E-09	21,083	8,647087E-07	21,613	6,720851E-08	22,384	2,769024E-07	22,895	3,602487E-08
28,193	8,709751E-07	28,944	-6,234497E-09	25,238	8,693405E-07	25,759	6,761420E-08	26,580	2,787254E-07	27,111	3,633170E-08
32,319	8,729175E-07	32,869	-6,281167E-09	29,465	8,855455E-07	30,216	6,676816E-08	30,726	2,796917E-07	31,287	3,721450E-08
36,505	8,764598E-07	37,306	-6,151915E-09	33,661	8,838372E-07	34,191	6,776568E-08	34,942	2,819868E-07	35,473	3,712449E-08
40,751	8,769935E-07	41,272	-5,544306E-09	37,817	9,059705E-07	38,578	6,548714E-08	39,128	2,823866E-07	39,689	3,724219E-08
44,837	8,787968E-07	45,387	-6,185115E-09	42,023	9,069102E-07	42,533	6,573355E-08	43,284	2,832611E-07	43,795	3,805226E-08
48,842	8,805603E-07	49,594	-6,373135E-09	45,968	8,924632E-07	46,749	6,891689E-08	47,250	2,855311E-07	48,041	3,817325E-08
53,099	8,782833E-07	53,609	-6,748186E-09	50,134	9,143303E-07	50,695	6,805760E-08	51,496	2,863185E-07	52,027	3,696471E-08
57,235	8,813099E-07	57,785	-5,568952E-09	54,360	9,128861E-07	54,871	6,749045E-08	55,632	2,869196E-07	56,153	3,750345E-08
61,180	8,821379E-07	61,931	-5,847716E-09	58,566	9,177522E-07	59,097	6,681685E-08	59,608	2,884696E-07	60,379	3,864781E-08
65,416	8,827089E-07	65,927	-6,498525E-09	62,482	9,141299E-07	63,003	7,072010E-08	63,794	2,888198E-07	64,335	3,880378E-08
69,552	8,830694E-07	70,103	-6,370019E-09	66,688	9,029722E-07	67,209	7,288273E-08	67,960	2,887888E-07	68,711	4,124083E-08
73,748	8,831602E-07	74,499	-6,187058E-09	70,914	9,291993E-07	71,455	6,808184E-08	72,196	2,892347E-07	72,707	3,939729E-08
77,954	8,827137E-07	78,475	-6,262179E-09	75,010	9,167736E-07	75,531	6,995724E-08	76,332	2,900691E-07	76,863	3,981706E-08
82,170	8,821355E-07	82,721	-5,860141E-09	79,276	9,182062E-07	79,797	7,178599E-08	80,548	2,907449E-07	81,069	4,069993E-08
