5.12.2014	16:06:04
Pa
Time[s]	Hydrogen	Time[s]	Helium	Time[s]	Water	Time[s]	Oxygen	Time[s]	OH	Time[s]	Nitrogen/Carbonmon
4,118	7,687019E-07	0,513	-6,812414E-09	1,254	9,702123E-07	1,774	8,152292E-08	2,535	3,061549E-07	3,096	6,731786E-08
8,294	7,702717E-07	4,899	-6,533973E-09	5,450	9,694019E-07	5,980	8,212273E-08	6,762	3,074439E-07	7,262	6,803701E-08
12,310	7,701119E-07	9,105	-6,441934E-09	9,616	9,757840E-07	10,126	8,217159E-08	10,877	3,079159E-07	11,478	6,820000E-08
16,435	7,716155E-07	12,840	-6,265092E-09	13,391	9,789599E-07	14,152	8,183376E-08	14,903	3,098086E-07	15,414	6,853257E-08
20,601	7,717744E-07	17,187	-6,664477E-09	17,737	9,827012E-07	18,278	8,275945E-08	19,059	3,098224E-07	19,570	6,863756E-08
24,747	7,724184E-07	21,353	-6,352285E-09	21,863	9,841469E-07	22,374	8,341217E-08	23,125	3,099849E-07	23,666	6,926764E-08
28,653	7,721586E-07	25,278	-7,323069E-09	26,039	9,868439E-07	26,580	8,392728E-08	27,331	3,117932E-07	27,872	6,831247E-08
32,849	7,728618E-07	29,404	-6,780590E-09	29,985	9,896939E-07	30,516	8,311782E-08	31,297	3,116020E-07	31,808	6,951249E-08
37,035	7,735179E-07	33,600	-5,826868E-09	34,141	9,884311E-07	34,652	8,299323E-08	35,403	3,117400E-07	35,944	6,960570E-08
41,161	7,737645E-07	37,566	-6,604813E-09	38,337	9,900351E-07	38,858	8,389983E-08	39,609	3,127942E-07	40,130	6,931021E-08
45,347	7,739402E-07	41,912	-6,730861E-09	42,463	9,918047E-07	42,994	8,427653E-08	43,775	3,126899E-07	44,296	6,968164E-08
49,523	7,747409E-07	46,098	-6,751494E-09	46,609	9,954962E-07	47,120	8,543821E-08	47,871	3,132064E-07	48,401	7,058931E-08
53,679	7,749289E-07	50,064	-6,174500E-09	50,585	9,973163E-07	51,346	8,621710E-08	52,097	3,148509E-07	52,607	6,977943E-08
57,975	7,758431E-07	54,450	-7,184760E-09	55,041	9,957682E-07	55,582	8,505560E-08	56,363	3,144881E-07	56,894	7,072077E-08
62,201	7,757709E-07	58,736	-6,471380E-09	59,247	9,952194E-07	59,758	8,542734E-08	60,509	3,151838E-07	61,070	7,088090E-08
66,357	7,768633E-07	62,712	-6,989973E-09	63,503	1,003500E-06	64,014	8,497168E-08	64,765	3,156804E-07	65,276	7,109422E-08
70,593	7,778649E-07	67,148	-6,921940E-09	67,719	1,004444E-06	68,250	8,520427E-08	68,781	3,178290E-07	69,552	7,139439E-08
74,849	7,791542E-07	71,344	-5,840163E-09	71,905	1,002580E-06	72,426	8,537276E-08	73,197	3,168317E-07	73,768	7,166182E-08
78,965	7,787513E-07	75,360	-7,062620E-09	76,111	1,010637E-06	76,622	8,647424E-08	77,373	3,177918E-07	77,884	7,218994E-08
82,961	7,792562E-07	79,516	-6,964437E-09	80,327	1,007105E-06	80,858	8,473462E-08	81,369	3,179756E-07	82,160	7,164594E-08
87,207	7,802991E-07	83,712	-6,940192E-09	84,273	1,014480E-06	84,794	8,801399E-08	85,575	3,196274E-07	86,116	7,241252E-08
91,323	7,820030E-07	87,738	-6,543598E-09	88,509	1,014259E-06	89,020	8,815564E-08	89,781	3,194437E-07	90,292	7,279540E-08
95,489	7,825443E-07	92,124	-7,290449E-09	92,655	1,017445E-06	93,196	8,848855E-08	93,947	3,216715E-07	94,458	7,264496E-08
99,545	7,841419E-07	96,240	-6,558819E-09	96,801	1,018948E-06	97,322	8,781254E-08	98,133	3,217510E-07	98,664	7,312379E-08
103,451	7,831678E-07	100,056	-6,753442E-09	100,807	1,023190E-06	101,358	8,738201E-08	101,868	3,231495E-07	102,619	7,325384E-08
107,396	7,838431E-07	103,991	-6,453645E-09	104,793	1,028848E-06	105,323	8,640931E-08	105,854	3,236338E-07	106,605	7,404302E-08
111,592	7,845588E-07	108,147	-6,542663E-09	108,658	1,030875E-06	109,169	8,831012E-08	109,960	3,261127E-07	110,511	7,415846E-08
115,728	7,854777E-07	112,133	-6,905191E-09	112,874	1,032207E-06	113,385	8,804353E-08	114,136	3,249651E-07	114,647	7,482150E-08
119,694	7,878594E-07	116,249	-7,120126E-09	117,050	1,035751E-06	117,581	8,830010E-08	118,142	3,257601E-07	118,893	7,450233E-08
123,860	7,887342E-07	120,455	-6,005642E-09	120,966	1,038079E-06	121,476	8,882394E-08	122,238	3,271509E-07	122,778	7,481431E-08
127,936	7,894366E-07	124,391	-7,241206E-09	125,142	1,037337E-06	125,653	8,919961E-08	126,404	3,272357E-07	126,914	7,511443E-08
131,932	7,894867E-07	128,487	-6,879434E-09	129,308	1,041776E-06	129,839	8,877878E-08	130,379	3,284554E-07	131,140	7,570368E-08
136,118	7,903307E-07	132,683	-6,782872E-09	133,193	1,043869E-06	133,704	8,919564E-08	134,485	3,271757E-07	135,026	7,589086E-08
140,073	7,903860E-07	136,698	-6,963732E-09	137,209	1,044832E-06	137,960	8,953035E-08	138,531	3,281371E-07	139,292	7,531538E-08
