#t [s]	p [Pa]
0	8,80E+04
15,00	2,20E+04
27,00	1,10E+04
39,00	6,30E+03
49,00	4,30E+03
61,00	2,70E+03
74,00	1,60E+03
83,00	1,10E+03
92,00	6,50E+02
102,00	3,40E+02
111,00	1,10E+02
113,00	7,50E+01
114,00	4,20E+01
115,00	2,40E+01
116,00	9,40E+00
117,00	1,60E+00
118,00	2,40E-01
119,00	9,00E-02
120,00	5,00E-02
121,00	3,80E-02
122,00	3,10E-02
125,00	1,70E-02
129,00	1,10E-02
131,00	8,60E-03
133,00	6,80E-03
138,00	4,90E-03
161,00	2,00E-03
182,00	1,20E-03
209,00	7,60E-04
239,00	5,30E-04
293,00	3,70E-04
354,00	2,80E-04
414,00	2,20E-04
474,00	1,90E-04
534,00	2,10E-04
594,00	1,70E-04
