5.12.2014	16:31:57
Pa
Time[s]	Hydrogen	Time[s]	Helium	Time[s]	Water	Time[s]	Oxygen	Time[s]	OH	Time[s]	Nitrogen/Carbonmon
2,385	1,122181E-07	2,896	-5,223820E-10	3,677	9,832101E-08	0,172	3,462304E-09	0,723	2,496962E-08	1,253	-4,986928E-10
6,551	1,122578E-07	7,102	2,771111E-09	7,903	9,885626E-08	4,188	3,836831E-09	4,939	2,480538E-08	5,510	-9,447741E-10
10,777	1,133007E-07	11,528	4,632437E-09	12,079	1,007194E-07	8,434	3,350195E-09	9,175	2,558444E-08	9,736	-1,154358E-09
15,023	1,139125E-07	15,544	9,477679E-09	16,305	1,023387E-07	12,860	4,753503E-09	13,421	2,555974E-08	13,952	-2,422953E-09
19,229	1,150141E-07	19,770	1,335387E-08	20,561	1,021669E-07	17,066	4,426262E-09	17,577	2,592442E-08	18,148	-9,129051E-10
23,395	1,153160E-07	24,146	1,877479E-08	24,677	1,039111E-07	21,082	4,070342E-09	21,833	2,625159E-08	22,364	-2,392329E-09
27,621	1,157800E-07	28,382	2,630838E-08	28,903	1,057113E-07	25,478	4,096359E-09	26,009	2,666457E-08	26,540	-1,873867E-09
31,777	1,167388E-07	32,308	3,384410E-08	33,099	1,069036E-07	29,654	4,797297E-09	30,165	2,726341E-08	30,936	-2,339715E-09
35,963	1,178377E-07	36,714	4,486263E-08	37,275	1,086522E-07	33,620	4,075667E-09	34,371	2,762437E-08	34,932	-1,080279E-09
40,199	1,193188E-07	40,951	5,868518E-08	41,461	1,106344E-07	37,826	5,052051E-09	38,617	2,773636E-08	39,158	-1,791449E-09
44,335	1,201491E-07	44,866	7,650823E-08	45,647	1,115748E-07	42,212	4,153308E-09	42,723	2,876210E-08	43,494	-1,858958E-09
48,521	1,226239E-07	49,283	1,058265E-07	49,863	1,146368E-07	46,158	4,603243E-09	46,909	2,932308E-08	47,480	-4,230819E-10
52,778	1,239707E-07	53,529	1,341467E-07	54,049	1,166462E-07	50,414	4,982903E-09	51,195	2,978090E-08	51,736	-1,411877E-09
56,974	1,257317E-07	57,534	1,714421E-07	58,305	1,192309E-07	54,800	4,712511E-09	55,321	3,081911E-08	56,122	-2,566800E-10
61,110	1,285711E-07	61,861	2,197731E-07	62,401	1,223198E-07	58,816	4,873025E-09	59,577	3,189269E-08	60,088	-6,993104E-10
65,296	1,302485E-07	66,047	2,843387E-07	66,567	1,255888E-07	62,942	5,482440E-09	63,733	3,287986E-08	64,254	-7,905314E-10
69,482	1,334218E-07	70,012	3,670346E-07	70,823	1,302503E-07	67,318	5,905687E-09	67,829	3,412019E-08	68,640	-2,395590E-10
73,628	1,374083E-07	74,379	4,782550E-07	74,919	1,359932E-07	71,344	6,414851E-09	72,095	3,607946E-08	72,606	6,700500E-10
77,794	1,415855E-07	78,545	6,257574E-07	79,065	1,423565E-07	75,460	6,976432E-09	76,241	3,802608E-08	76,762	1,766303E-09
81,949	1,479516E-07	82,490	8,184595E-07	83,251	1,518387E-07	79,816	7,892141E-09	80,327	4,108172E-08	81,108	2,603199E-09
86,126	1,574139E-07	86,877	1,124140E-06	87,467	1,596840E-07	83,762	9,081601E-09	84,523	4,417137E-08	85,084	5,684074E-09
