5.12.2014	16:16:15
Pa
Time[s]	Hydrogen	Time[s]	Helium	Time[s]	Water	Time[s]	Oxygen	Time[s]	OH	Time[s]	Nitrogen/Carbonmon
3,277	2,437971E-07	3,787	-7,462679E-09	0,352	2,585679E-07	1,113	1,994040E-08	1,664	8,133634E-08	2,195	1,161318E-08
7,372	2,429563E-07	7,923	-6,317788E-09	4,538	2,561125E-07	5,289	2,066949E-08	5,800	8,102945E-08	6,551	1,127572E-08
11,568	2,410206E-07	12,320	-6,530114E-09	8,714	2,544797E-07	9,285	2,047140E-08	9,796	8,051334E-08	10,547	1,111852E-08
15,745	2,399485E-07	16,506	-5,945336E-09	12,830	2,518337E-07	13,611	2,032876E-08	14,152	7,887601E-08	14,683	1,132670E-08
19,890	2,368924E-07	20,441	-6,587760E-09	17,016	2,502204E-07	17,767	2,090316E-08	18,278	7,872275E-08	19,029	1,087465E-08
24,056	2,347388E-07	24,597	-6,101266E-09	21,222	2,483799E-07	21,743	1,967912E-08	22,514	7,847190E-08	23,025	1,064002E-08
28,263	2,355492E-07	28,803	-5,989761E-09	25,348	2,469716E-07	25,879	2,093602E-08	26,680	7,805008E-08	27,211	1,049369E-08
32,418	2,324525E-07	32,959	-6,396961E-09	29,554	2,440282E-07	30,305	1,975340E-08	30,816	7,755967E-08	31,567	9,788998E-09
36,574	2,311907E-07	37,336	-5,958185E-09	33,740	2,427513E-07	34,261	1,911619E-08	35,012	7,677544E-08	35,533	1,002421E-08
40,801	2,308882E-07	41,562	-5,816554E-09	37,846	2,403446E-07	38,397	1,899579E-08	39,198	7,623828E-08	39,739	9,684874E-09
44,957	2,285661E-07	45,487	-6,831705E-09	42,072	2,386447E-07	42,843	1,885713E-08	43,354	7,426473E-08	44,105	9,509368E-09
49,102	2,268228E-07	49,854	-5,807702E-09	46,268	2,371628E-07	46,789	1,879278E-08	47,540	7,510329E-08	48,051	9,641462E-09
53,288	2,261716E-07	54,040	-5,945262E-09	50,374	2,357123E-07	50,915	1,981592E-08	51,706	7,445143E-08	52,237	9,590575E-09
57,464	2,245177E-07	57,995	-6,498440E-09	54,550	2,334667E-07	55,351	1,966585E-08	55,862	7,370922E-08	56,613	9,921984E-09
61,610	2,234221E-07	62,362	-5,806153E-09	58,776	2,318920E-07	59,297	1,814799E-08	60,048	7,320190E-08	60,559	8,746876E-09
65,696	2,227563E-07	66,217	-6,204095E-09	62,952	2,301583E-07	63,553	1,778856E-08	64,094	7,248205E-08	64,875	8,760261E-09
69,912	2,210325E-07	70,453	-6,055995E-09	66,968	2,292603E-07	67,719	1,853539E-08	68,290	7,029114E-08	68,811	8,721596E-09
74,088	2,202599E-07	74,599	-5,842664E-09	71,234	2,273706E-07	71,735	1,773060E-08	72,496	7,019652E-08	73,007	8,472270E-09
78,314	2,194626E-07	79,076	-5,898288E-09	75,360	2,259992E-07	75,911	1,776451E-08	76,722	6,940246E-08	77,263	8,489643E-09
82,521	2,175849E-07	83,061	-5,587942E-09	79,586	2,239907E-07	80,387	1,747600E-08	80,908	6,832089E-08	81,429	8,630554E-09
86,707	2,173315E-07	87,227	-6,190477E-09	83,832	2,221826E-07	84,333	1,718620E-08	85,104	6,807105E-08	85,645	8,197453E-09
90,923	2,157900E-07	91,443	-6,589619E-09	88,008	2,210256E-07	88,549	1,700578E-08	89,340	6,766318E-08	89,871	8,287495E-09
95,129	2,144745E-07	95,669	-5,747897E-09	92,194	2,198432E-07	92,946	1,788371E-08	93,466	6,721948E-08	94,247	8,037261E-09
99,255	2,137969E-07	99,815	-5,687065E-09	96,431	2,181948E-07	96,951	1,648968E-08	97,722	6,668938E-08	98,233	8,138711E-09
103,531	2,125401E-07	104,051	-5,861435E-09	100,627	2,165457E-07	101,157	1,640743E-08	101,948	6,575132E-08	102,459	7,925828E-09
107,737	2,112187E-07	108,278	-5,428361E-09	104,803	2,148104E-07	105,554	1,660962E-08	106,074	6,568334E-08	106,615	8,466896E-09
111,933	2,107840E-07	112,454	-6,135508E-09	109,029	2,139013E-07	109,539	1,592676E-08	110,341	6,473421E-08	110,861	8,503554E-09
116,149	2,098057E-07	116,690	-6,082725E-09	113,265	2,122710E-07	113,795	1,589639E-08	114,587	6,492331E-08	115,087	7,429051E-09
120,425	2,079035E-07	120,946	-7,164333E-09	117,451	2,111205E-07	117,961	1,641582E-08	118,783	6,451634E-08	119,333	7,396404E-09
124,541	2,072492E-07	125,092	-5,917667E-09	121,697	2,095263E-07	122,208	1,550479E-08	122,959	6,368818E-08	123,710	8,226243E-09
128,737	2,064297E-07	129,258	-6,635241E-09	125,883	2,087211E-07	126,414	1,532821E-08	127,175	6,369937E-08	127,685	7,198984E-09
132,983	2,052003E-07	133,504	-6,729049E-09	130,019	2,076004E-07	130,770	1,602271E-08	131,361	6,278864E-08	131,902	7,043158E-09
137,059	2,048287E-07	137,650	-5,751252E-09	134,255	2,055992E-07	134,766	1,524336E-08	135,527	6,211195E-08	136,278	7,909459E-09
141,335	2,034438E-07	141,856	-5,996728E-09	138,441	2,053310E-07	138,972	1,507052E-08	139,733	6,152861E-08	140,244	6,744623E-09
145,561	2,018993E-07	146,082	-7,472216E-09	142,607	2,038143E-07	143,118	1,539514E-08	143,959	6,118765E-08	144,490	6,862210E-09
149,707	2,013975E-07	150,268	-5,740174E-09	146,843	2,027192E-07	147,384	1,516323E-08	148,135	6,087474E-08	148,646	6,588828E-09
153,893	2,004808E-07	154,654	-6,056927E-09	151,049	2,011690E-07	151,580	1,500528E-08	152,341	6,083912E-08	152,862	6,514618E-09
158,139	2,004720E-07	158,650	-7,302193E-09	155,175	2,009216E-07	155,986	1,508885E-08	156,537	6,064240E-08	157,068	6,758074E-09
162,285	1,993116E-07	162,846	-5,985319E-09	159,411	1,999822E-07	159,942	1,526535E-08	160,693	5,939707E-08	161,444	7,510882E-09
166,471	1,982920E-07	167,232	-7,193750E-09	163,637	1,995762E-07	164,168	1,444870E-08	164,919	6,072584E-08	165,450	6,412001E-09
170,697	1,973860E-07	171,218	-6,281073E-09	167,743	1,989188E-07	168,554	1,460813E-08	169,105	5,967680E-08	169,636	6,603901E-09
174,903	1,962209E-07	175,454	-5,758247E-09	171,979	1,976916E-07	172,790	1,537521E-08	173,311	5,926022E-08	173,822	6,219787E-09
179,099	1,954431E-07	179,620	-6,613568E-09	176,235	1,965217E-07	176,746	1,416092E-08	177,507	5,892832E-08	178,048	5,746457E-09
183,315	1,944817E-07	184,077	-6,120625E-09	180,371	1,948846E-07	180,912	1,444260E-08	181,723	5,795758E-08	182,254	6,327762E-09
187,522	1,937672E-07	188,062	-6,166648E-09	184,587	1,939251E-07	185,388	1,494972E-08	185,909	5,775134E-08	186,420	6,182836E-09
191,708	1,927089E-07	192,228	-5,947218E-09	188,843	1,923660E-07	189,344	1,372713E-08	190,115	5,745234E-08	190,626	5,878842E-09
195,934	1,919397E-07	196,685	-6,193056E-09	192,989	1,915114E-07	193,540	1,382160E-08	194,341	5,714753E-08	194,872	5,986222E-09
200,140	1,906273E-07	200,680	-6,083303E-09	197,195	1,905428E-07	197,946	1,349802E-08	198,467	5,679644E-08	199,248	5,487225E-09
204,266	1,907891E-07	204,826	-5,908595E-09	201,452	1,896558E-07	201,962	1,345522E-08	202,733	5,695661E-08	203,244	5,966244E-09
208,542	1,899927E-07	209,083	-6,301067E-09	205,587	1,884817E-07	206,138	1,378145E-08	206,959	5,608681E-08	207,490	5,756375E-09
212,778	1,879721E-07	213,319	-5,668298E-09	209,834	1,868071E-07	210,354	1,293915E-08	211,155	5,595484E-08	211,676	5,178015E-09
216,894	1,882602E-07	217,455	-6,055835E-09	214,080	1,862632E-07	214,600	1,349726E-08	215,362	5,548347E-08	215,872	5,045545E-09
221,170	1,873579E-07	221,691	-6,393719E-09	218,246	1,864908E-07	218,776	1,313884E-08	219,598	5,508877E-08	220,108	5,407790E-09
225,386	1,863057E-07	225,927	-6,155639E-09	222,442	1,849596E-07	222,962	1,375339E-08	223,754	5,521798E-08	224,294	5,946577E-09
229,502	1,856371E-07	230,053	-5,841616E-09	226,688	1,838836E-07	227,199	1,292108E-08	227,970	5,473002E-08	228,480	5,217065E-09
233,778	1,845443E-07	234,299	-6,458224E-09	230,864	1,838127E-07	231,395	1,300556E-08	232,196	5,432942E-08	232,716	5,181902E-09
238,004	1,841209E-07	238,535	-6,090702E-09	235,060	1,820270E-07	235,811	1,262715E-08	236,372	5,406801E-08	236,923	5,220791E-09
242,180	1,833517E-07	242,701	-6,016992E-09	239,286	1,811539E-07	239,827	1,313700E-08	240,588	5,373531E-08	241,099	4,852958E-09
246,396	1,834554E-07	246,917	-6,294348E-09	243,502	1,802862E-07	244,033	1,248526E-08	244,814	5,314273E-08	245,335	5,233271E-09
250,642	1,816074E-07	251,153	-7,455694E-09	247,668	1,799714E-07	248,189	1,295516E-08	249,020	5,351832E-08	249,561	5,134136E-09
254,748	1,810108E-07	255,309	-5,979170E-09	251,914	1,786787E-07	252,425	1,283435E-08	253,176	5,188710E-08	253,927	5,593849E-09
258,964	1,803196E-07	259,725	-6,147657E-09	256,100	1,779561E-07	256,631	1,204389E-08	257,392	5,223933E-08	257,913	4,923391E-09
263,220	1,794668E-07	263,731	-7,235355E-09	260,246	1,773585E-07	260,997	1,306148E-08	261,608	5,177504E-08	262,139	4,684129E-09
267,366	1,795652E-07	267,927	-6,175351E-09	264,492	1,765511E-07	265,263	1,222054E-08	265,784	5,185826E-08	266,295	4,883590E-09
-	-	-	-	268,718	1,757202E-07	269,249	1,182678E-08	270,000	5,145161E-08	270,551	4,384076E-09
