Linear Position, Run #1
Time ( s )	Linear Position ( m )
0,0000	-1,125E-4
0,0400	-1,125E-4
0,0800	-1,125E-4
0,1200	-7,500E-5
0,1600	-3,750E-5
0,2000	3,750E-5
0,2400	7,500E-5
0,2800	7,500E-5
0,3200	3,750E-5
0,3600	0,000
0,4000	-7,500E-5
0,4400	-1,500E-4
0,4800	-1,500E-4
0,5200	-1,125E-4
0,5600	-7,500E-5
0,6000	0,000
0,6400	7,500E-5
0,6800	7,500E-5
0,7200	7,500E-5
0,7600	0,000
0,8000	-7,500E-5
0,8400	-1,125E-4
0,8800	-1,500E-4
0,9200	-1,500E-4
0,9600	-1,125E-4
1,0000	-3,750E-5
1,0400	3,750E-5
1,0800	7,500E-5
1,1200	7,500E-5
1,1600	3,750E-5
1,2000	-3,750E-5
1,2400	-1,125E-4
1,2800	-1,125E-4
1,3200	-1,500E-4
1,3600	-1,125E-4
1,4000	-7,500E-5
1,4400	0,000
1,4800	3,750E-5
1,5200	7,500E-5
1,5600	3,750E-5
1,6000	0,000
1,6400	-7,500E-5
1,6800	-1,125E-4
1,7200	-1,500E-4
1,7600	-1,125E-4
1,8000	-7,500E-5
1,8400	0,000
1,8800	7,500E-5
1,9200	7,500E-5
1,9600	7,500E-5
2,0000	0,000
2,0400	-7,500E-5
2,0800	-1,125E-4
2,1200	-1,500E-4
2,1600	-1,500E-4
2,2000	-7,500E-5
2,2400	-3,750E-5
2,2800	3,750E-5
2,3200	7,500E-5
2,3600	7,500E-5
2,4000	3,750E-5
2,4400	-3,750E-5
2,4800	-1,125E-4
2,5200	-1,500E-4
2,5600	-1,500E-4
2,6000	-1,125E-4
2,6400	-3,750E-5
2,6800	3,750E-5
2,7200	7,500E-5
2,7600	7,500E-5
2,8000	3,750E-5
2,8400	-3,750E-5
2,8800	-7,500E-5
2,9200	-1,125E-4
2,9600	-1,125E-4
3,0000	-1,125E-4
3,0400	-7,500E-5
3,0800	0,000
3,1200	3,750E-5
3,1600	7,500E-5
3,2000	7,500E-5
3,2400	0,000
3,2800	-7,500E-5
3,3200	-1,125E-4
3,3600	-1,500E-4
3,4000	-1,500E-4
3,4400	-7,500E-5
3,4800	-3,750E-5
3,5200	3,750E-5
3,5600	7,500E-5
3,6000	7,500E-5
3,6400	3,750E-5
3,6800	-3,750E-5
3,7200	-1,125E-4
3,7600	-1,125E-4
3,8000	-1,125E-4
3,8400	-1,125E-4
3,8800	-3,750E-5
3,9200	0,000
3,9600	7,500E-5
4,0000	7,500E-5
4,0400	3,750E-5
4,0800	0,000
4,1200	-7,500E-5
4,1600	-1,125E-4
4,2000	-1,125E-4
4,2400	-1,125E-4
4,2800	-7,500E-5
4,3200	0,000
4,3600	3,750E-5
4,4000	7,500E-5
4,4400	7,500E-5
4,4800	0,000
4,5200	-7,500E-5
4,5600	-1,125E-4
4,6000	-1,500E-4
4,6400	-1,500E-4
4,6800	-1,125E-4
4,7200	-3,750E-5
4,7600	3,750E-5
4,8000	7,500E-5
4,8400	7,500E-5
4,8800	3,750E-5
4,9200	-3,750E-5
4,9600	-1,125E-4
5,0000	-1,125E-4
5,0400	-1,125E-4
5,0800	-1,125E-4
5,1200	-3,750E-5
5,1600	0,000
5,2000	7,500E-5
5,2400	7,500E-5
5,2800	3,750E-5
5,3200	0,000
5,3600	-7,500E-5
5,4000	-1,125E-4
5,4400	-1,125E-4
5,4800	-1,125E-4
5,5200	-7,500E-5
5,5600	0,000
5,6000	3,750E-5
5,6400	7,500E-5
5,6800	7,500E-5
5,7200	0,000
5,7600	-3,750E-5
5,8000	-1,125E-4
5,8400	-1,125E-4
5,8800	-1,125E-4
5,9200	-7,500E-5
5,9600	-3,750E-5
6,0000	3,750E-5
6,0400	7,500E-5
6,0800	7,500E-5
6,1200	3,750E-5
6,1600	-3,750E-5
6,2000	-7,500E-5
6,2400	-1,125E-4
6,2800	-1,125E-4
6,3200	-1,125E-4
6,3600	-3,750E-5
6,4000	0,000
6,4400	7,500E-5
6,4800	7,500E-5
6,5200	3,750E-5
6,5600	0,000
6,6000	-7,500E-5
6,6400	-1,125E-4
6,6800	-1,500E-4
6,7200	-1,500E-4
6,7600	-7,500E-5
6,8000	-3,750E-5
6,8400	3,750E-5
6,8800	7,500E-5
6,9200	7,500E-5
6,9600	0,000
7,0000	-7,500E-5
7,0400	-1,125E-4
7,0800	-1,500E-4
7,1200	-1,500E-4
7,1600	-1,125E-4
7,2000	-3,750E-5
7,2400	3,750E-5
7,2800	7,500E-5
7,3200	7,500E-5
7,3600	3,750E-5
7,4000	-3,750E-5
7,4400	-1,125E-4
7,4800	-1,125E-4
7,5200	-1,125E-4
7,5600	-1,125E-4
7,6000	-7,500E-5
7,6400	0,000
7,6800	3,750E-5
7,7200	7,500E-5
7,7600	3,750E-5
7,8000	0,000
7,8400	-7,500E-5
7,8800	-1,125E-4
7,9200	-1,125E-4
7,9600	-1,125E-4
8,0000	-7,500E-5
8,0400	-3,750E-5
8,0800	3,750E-5
8,1200	7,500E-5
8,1600	7,500E-5
8,2000	0,000
8,2400	-3,750E-5
8,2800	-1,125E-4
8,3200	-1,125E-4
8,3600	-1,125E-4
8,4000	-1,125E-4
8,4400	-3,750E-5
8,4800	3,750E-5
8,5200	7,500E-5
8,5600	7,500E-5
8,6000	3,750E-5
8,6400	-3,750E-5
8,6800	-1,125E-4
8,7200	-1,125E-4
8,7600	-1,500E-4
8,8000	-1,125E-4
8,8400	-7,500E-5
8,8800	0,000
8,9200	3,750E-5
8,9600	7,500E-5
9,0000	3,750E-5
9,0400	0,000
9,0800	-7,500E-5
9,1200	-1,125E-4
9,1600	-1,125E-4
9,2000	-1,125E-4
9,2400	-7,500E-5
9,2800	-3,750E-5
9,3200	3,750E-5
9,3600	7,500E-5
