Linear Position, Run #3
Time ( s )	Linear Position ( m )
0,0000	1,125E-4
0,0400	1,125E-4
0,0800	1,125E-4
0,1200	1,125E-4
0,1600	1,125E-4
0,2000	1,125E-4
0,2400	1,125E-4
0,2800	1,125E-4
0,3200	1,125E-4
0,3600	1,125E-4
0,4000	1,125E-4
0,4400	1,125E-4
0,4800	1,125E-4
0,5200	1,125E-4
0,5600	1,125E-4
0,6000	1,125E-4
0,6400	1,125E-4
0,6800	1,125E-4
0,7200	1,125E-4
0,7600	1,125E-4
0,8000	1,125E-4
0,8400	1,125E-4
0,8800	1,125E-4
0,9200	1,125E-4
0,9600	1,125E-4
1,0000	1,125E-4
1,0400	1,125E-4
1,0800	1,125E-4
1,1200	1,125E-4
1,1600	1,125E-4
1,2000	1,125E-4
1,2400	1,125E-4
1,2800	1,125E-4
1,3200	1,125E-4
1,3600	1,125E-4
1,4000	1,125E-4
1,4400	1,125E-4
1,4800	1,125E-4
1,5200	1,125E-4
1,5600	1,125E-4
1,6000	1,125E-4
1,6400	1,125E-4
1,6800	1,125E-4
1,7200	1,125E-4
1,7600	1,125E-4
1,8000	1,125E-4
1,8400	1,125E-4
1,8800	1,125E-4
1,9200	1,125E-4
1,9600	1,125E-4
2,0000	1,125E-4
2,0400	1,125E-4
2,0800	1,125E-4
2,1200	1,125E-4
2,1600	1,125E-4
2,2000	1,125E-4
2,2400	1,125E-4
2,2800	1,125E-4
2,3200	1,125E-4
2,3600	1,125E-4
2,4000	1,125E-4
2,4400	1,125E-4
2,4800	1,125E-4
2,5200	1,125E-4
2,5600	1,125E-4
2,6000	1,125E-4
2,6400	3,750E-5
2,6800	3,750E-5
2,7200	3,750E-5
2,7600	3,750E-5
2,8000	3,750E-5
2,8400	3,750E-5
2,8800	3,750E-5
2,9200	3,750E-5
2,9600	3,750E-5
3,0000	3,750E-5
3,0400	3,750E-5
3,0800	3,750E-5
3,1200	3,750E-5
3,1600	3,750E-5
3,2000	3,750E-5
3,2400	3,750E-5
3,2800	3,750E-5
3,3200	3,750E-5
3,3600	3,750E-5
3,4000	3,750E-5
3,4400	3,750E-5
3,4800	3,750E-5
3,5200	3,750E-5
3,5600	3,750E-5
3,6000	3,750E-5
3,6400	3,750E-5
3,6800	3,750E-5
3,7200	3,750E-5
3,7600	3,750E-5
3,8000	3,750E-5
3,8400	3,750E-5
3,8800	3,750E-5
3,9200	3,750E-5
3,9600	3,750E-5
4,0000	3,750E-5
4,0400	3,750E-5
4,0800	3,750E-5
4,1200	3,750E-5
4,1600	3,750E-5
4,2000	3,750E-5
4,2400	3,750E-5
4,2800	3,750E-5
4,3200	3,750E-5
4,3600	3,750E-5
4,4000	3,750E-5
4,4400	3,750E-5
4,4800	3,750E-5
4,5200	3,750E-5
4,5600	3,750E-5
4,6000	1,125E-4
4,6400	-3,000E-4
4,6800	-0,001
4,7200	-0,002
4,7600	-0,002
4,8000	-7,500E-4
4,8400	3,000E-4
4,8800	0,001
4,9200	0,002
4,9600	0,002
5,0000	0,004
5,0400	0,005
5,0800	0,004
5,1200	0,004
5,1600	0,005
5,2000	0,006
5,2400	0,006
5,2800	0,007
5,3200	0,007
5,3600	0,007
5,4000	0,007
5,4400	0,007
5,4800	0,008
5,5200	0,008
5,5600	0,008
5,6000	0,008
5,6400	0,008
5,6800	0,008
5,7200	0,008
5,7600	0,009
5,8000	0,009
5,8400	0,009
5,8800	0,009
5,9200	0,007
5,9600	0,006
6,0000	0,004
6,0400	0,003
6,0800	0,004
6,1200	0,004
6,1600	0,003
6,2000	0,003
6,2400	0,002
6,2800	0,003
6,3200	0,003
6,3600	0,003
6,4000	0,002
6,4400	-0,001
6,4800	-0,006
6,5200	-0,009
6,5600	-0,011
6,6000	-0,015
6,6400	-0,019
6,6800	-0,022
6,7200	-0,025
6,7600	-0,026
6,8000	-0,027
6,8400	-0,028
6,8800	-0,029
6,9200	-0,031
6,9600	-0,032
7,0000	-0,032
7,0400	-0,032
7,0800	-0,031
7,1200	-0,030
7,1600	-0,029
7,2000	-0,029
7,2400	-0,028
7,2800	-0,029
7,3200	-0,030
7,3600	-0,030
7,4000	-0,031
7,4400	-0,032
7,4800	-0,031
7,5200	-0,031
7,5600	-0,030
7,6000	-0,030
7,6400	-0,029
7,6800	-0,029
7,7200	-0,029
7,7600	-0,030
7,8000	-0,030
7,8400	-0,031
7,8800	-0,031
7,9200	-0,031
7,9600	-0,031
8,0000	-0,030
8,0400	-0,030
8,0800	-0,030
8,1200	-0,030
8,1600	-0,030
8,2000	-0,030
8,2400	-0,030
8,2800	-0,030
8,3200	-0,030
8,3600	-0,030
8,4000	-0,030
8,4400	-0,030
8,4800	-0,030
8,5200	-0,030
8,5600	-0,030
8,6000	-0,030
8,6400	-0,030
8,6800	-0,030
8,7200	-0,030
8,7600	-0,030
8,8000	-0,030
8,8400	-0,030
8,8800	-0,030
8,9200	-0,030
8,9600	-0,030
9,0000	-0,030
9,0400	-0,030
9,0800	-0,030
9,1200	-0,030
9,1600	-0,030
9,2000	-0,030
9,2400	-0,030
9,2800	-0,030
9,3200	-0,030
9,3600	-0,030
9,4000	-0,030
9,4400	-0,030
9,4800	-0,030
9,5200	-0,030
9,5600	-0,030
9,6000	-0,030
9,6400	-0,030
9,6800	-0,030
9,7200	-0,030
9,7600	-0,030
9,8000	-0,030
9,8400	-0,030
9,8800	-0,030
9,9200	-0,030
9,9600	-0,030
10,0000	-0,030
10,0400	-0,030
10,0800	-0,030
10,1200	-0,030
10,1600	-0,030
10,2000	-0,030
10,2400	-0,030
10,2800	-0,030
10,3200	-0,030
10,3600	-0,030
10,4000	-0,030
10,4400	-0,030
10,4800	-0,030
10,5200	-0,030
10,5600	-0,030
10,6000	-0,030
10,6400	-0,030
10,6800	-0,030
