Angular Position, Run #5
Time ( s )	Angular Position ( deg )
0,0000	0,0
0,0400	0,0
0,0800	0,0
0,1200	0,0
0,1600	0,0
0,2000	0,0
0,2400	0,0
0,2800	0,0
0,3200	0,0
0,3600	0,0
0,4000	0,0
0,4400	0,0
0,4800	0,0
0,5200	0,0
0,5600	0,0
0,6000	0,0
0,6400	0,0
0,6800	0,0
0,7200	0,0
0,7600	0,0
0,8000	0,0
0,8400	0,0
0,8800	0,0
0,9200	0,0
0,9600	0,0
1,0000	0,0
1,0400	0,0
1,0800	0,0
1,1200	0,0
1,1600	0,0
1,2000	0,0
1,2400	0,0
1,2800	0,0
1,3200	0,0
1,3600	0,0
1,4000	0,0
1,4400	0,0
1,4800	0,0
1,5200	0,0
1,5600	0,0
1,6000	0,0
1,6400	0,0
1,6800	0,0
1,7200	0,0
1,7600	0,0
1,8000	0,0
1,8400	0,0
1,8800	0,0
1,9200	0,0
1,9600	0,0
2,0000	0,0
2,0400	0,0
2,0800	0,0
2,1200	0,0
2,1600	0,0
2,2000	0,0
2,2400	0,0
2,2800	0,0
2,3200	0,0
2,3600	0,0
2,4000	0,0
2,4400	0,0
2,4800	0,0
2,5200	0,0
2,5600	0,0
2,6000	0,0
2,6400	0,0
2,6800	0,0
2,7200	0,0
2,7600	0,0
2,8000	0,0
2,8400	0,0
2,8800	0,0
2,9200	0,0
2,9600	0,0
3,0000	0,0
3,0400	0,0
3,0800	0,0
3,1200	0,0
3,1600	0,0
3,2000	0,0
3,2400	0,0
3,2800	0,0
3,3200	0,0
3,3600	0,0
3,4000	0,0
3,4400	0,0
3,4800	0,0
3,5200	0,0
3,5600	0,0
3,6000	0,0
3,6400	0,0
3,6800	0,0
3,7200	0,0
3,7600	0,0
3,8000	0,0
3,8400	0,0
3,8800	0,0
3,9200	0,0
3,9600	0,0
4,0000	0,0
4,0400	0,0
4,0800	0,0
4,1200	0,0
4,1600	0,0
4,2000	0,0
4,2400	0,0
4,2800	0,0
4,3200	0,0
4,3600	0,0
4,4000	0,0
4,4400	0,0
4,4800	0,0
4,5200	0,0
4,5600	0,0
4,6000	0,0
4,6400	0,0
4,6800	0,0
4,7200	0,0
4,7600	0,0
4,8000	0,0
4,8400	0,0
4,8800	0,0
4,9200	0,0
4,9600	0,0
5,0000	0,0
5,0400	0,0
5,0800	0,0
5,1200	0,0
5,1600	0,0
5,2000	0,0
5,2400	0,0
5,2800	0,0
5,3200	0,0
5,3600	0,0
5,4000	0,0
5,4400	0,0
5,4800	0,0
5,5200	0,0
5,5600	0,0
5,6000	0,0
5,6400	0,0
5,6800	0,0
5,7200	0,0
5,7600	0,0
5,8000	0,0
5,8400	0,0
5,8800	0,0
5,9200	0,0
5,9600	0,0
6,0000	0,0
6,0400	0,0
6,0800	0,0
6,1200	0,0
6,1600	0,0
6,2000	0,0
6,2400	0,0
6,2800	0,0
6,3200	0,0
6,3600	0,0
6,4000	0,0
6,4400	0,0
6,4800	0,0
6,5200	0,0
6,5600	0,0
6,6000	0,0
6,6400	0,0
6,6800	0,0
6,7200	0,0
6,7600	0,0
6,8000	0,0
6,8400	0,0
6,8800	0,0
6,9200	0,0
6,9600	0,0
7,0000	0,0
7,0400	0,0
7,0800	0,0
7,1200	0,0
7,1600	0,0
7,2000	0,0
7,2400	0,0
7,2800	0,0
7,3200	0,0
7,3600	0,0
7,4000	0,0
7,4400	0,0
7,4800	0,0
7,5200	0,0
7,5600	0,0
7,6000	0,0
7,6400	0,0
7,6800	0,0
7,7200	0,0
7,7600	0,0
7,8000	0,0
7,8400	0,0
7,8800	0,0
7,9200	0,0
7,9600	0,0
8,0000	0,0
8,0400	0,0
8,0800	0,0
8,1200	0,0
8,1600	0,0
8,2000	0,0
8,2400	0,0
8,2800	0,0
8,3200	0,0
8,3600	0,0
8,4000	0,0
8,4400	0,0
8,4800	0,0
8,5200	0,0
8,5600	0,0
8,6000	0,0
8,6400	0,0
8,6800	0,0
8,7200	0,0
8,7600	0,0
8,8000	0,0
8,8400	0,0
8,8800	0,0
8,9200	0,0
8,9600	0,0
9,0000	0,0
9,0400	0,0
9,0800	0,0
9,1200	0,0
9,1600	0,0
9,2000	0,0
9,2400	0,0
9,2800	0,0
9,3200	0,0
9,3600	0,0
9,4000	0,0
9,4400	0,0
9,4800	0,0
9,5200	0,0
9,5600	0,0
9,6000	0,0
9,6400	0,0
9,6800	0,0
9,7200	0,0
9,7600	0,0
9,8000	0,0
9,8400	0,0
9,8800	0,0
9,9200	0,0
9,9600	0,0
10,0000	0,0
10,0400	0,0
10,0800	0,0
10,1200	0,0
10,1600	0,0
10,2000	0,0
10,2400	0,0
10,2800	0,0
10,3200	0,0
10,3600	0,0
10,4000	0,0
10,4400	0,0
10,4800	0,0
10,5200	0,0
10,5600	0,0
10,6000	0,0
10,6400	0,0
10,6800	0,0
10,7200	0,0
10,7600	0,0
10,8000	0,0
10,8400	0,0
10,8800	0,0
10,9200	0,0
10,9600	0,0
11,0000	0,0
11,0400	0,0
11,0800	0,0
11,1200	0,0
11,1600	0,0
11,2000	0,0
11,2400	0,0
11,2800	0,0
11,3200	0,0
11,3600	0,0
11,4000	0,0
11,4400	0,0
11,4800	0,0
11,5200	0,0
11,5600	0,0
11,6000	0,0
11,6400	0,0
11,6800	0,0
11,7200	0,0
11,7600	0,0
11,8000	0,0
11,8400	0,0
11,8800	0,0
11,9200	0,0
11,9600	0,0
12,0000	0,0
12,0400	0,0
12,0800	0,0
12,1200	0,0
12,1600	0,0
12,2000	0,0
12,2400	0,0
12,2800	0,0
12,3200	0,0
12,3600	0,0
12,4000	0,0
12,4400	0,0
12,4800	0,0
12,5200	0,0
12,5600	0,0
12,6000	0,0
12,6400	0,0
12,6800	0,0
12,7200	0,0
12,7600	0,0
12,8000	0,0
12,8400	0,0
12,8800	0,0
12,9200	0,0
12,9600	0,0
13,0000	0,0
13,0400	0,0
13,0800	0,0
13,1200	0,0
13,1600	0,0
13,2000	0,0
13,2400	0,0
13,2800	0,0
13,3200	0,0
13,3600	0,0
13,4000	0,0
13,4400	0,0
13,4800	0,0
13,5200	0,0
13,5600	0,0
13,6000	0,0
13,6400	0,0
13,6800	0,0
13,7200	0,0
13,7600	0,0
13,8000	0,0
13,8400	0,0
13,8800	0,0
13,9200	0,0
13,9600	0,0
14,0000	0,0
14,0400	0,0
14,0800	0,0
14,1200	0,0
14,1600	0,0
14,2000	0,0
14,2400	0,0
14,2800	0,0
14,3200	0,0
14,3600	0,0
14,4000	0,0
14,4400	0,0
14,4800	0,0
14,5200	0,0
14,5600	0,0
14,6000	0,0
14,6400	0,0
14,6800	0,0
14,7200	0,0
14,7600	0,0
14,8000	0,0
14,8400	0,0
14,8800	0,0
14,9200	0,0
14,9600	0,0
15,0000	0,0
15,0400	0,0
15,0800	0,0
15,1200	0,0
15,1600	0,0
15,2000	0,0
15,2400	0,0
