Linear Position, Run #5
Time ( s )	Linear Position ( m )
0,0000	0,000
0,0400	0,000
0,0800	0,000
0,1200	0,000
0,1600	0,000
0,2000	0,000
0,2400	0,000
0,2800	0,000
0,3200	0,000
0,3600	0,000
0,4000	0,000
0,4400	0,000
0,4800	0,000
0,5200	0,000
0,5600	0,000
0,6000	0,000
0,6400	0,000
0,6800	0,000
0,7200	0,000
0,7600	0,000
0,8000	0,000
0,8400	-7,500E-5
0,8800	-1,500E-4
0,9200	-0,001
0,9600	-0,002
1,0000	-0,003
1,0400	-0,004
1,0800	-0,005
1,1200	-0,006
1,1600	-0,007
1,2000	-0,009
1,2400	-0,010
1,2800	-0,012
1,3200	-0,014
1,3600	-0,015
1,4000	-0,016
1,4400	-0,018
1,4800	-0,020
1,5200	-0,021
1,5600	-0,023
1,6000	-0,024
1,6400	-0,025
1,6800	-0,027
1,7200	-0,028
1,7600	-0,029
1,8000	-0,030
1,8400	-0,030
1,8800	-0,031
1,9200	-0,031
1,9600	-0,032
2,0000	-0,032
2,0400	-0,032
2,0800	-0,032
2,1200	-0,032
2,1600	-0,032
2,2000	-0,032
2,2400	-0,029
2,2800	-0,017
2,3200	0,002
2,3600	0,019
2,4000	0,028
2,4400	0,026
2,4800	0,013
2,5200	-0,004
2,5600	-0,019
2,6000	-0,026
2,6400	-0,022
2,6800	-0,010
2,7200	0,006
2,7600	0,019
2,8000	0,024
2,8400	0,019
2,8800	0,007
2,9200	-0,007
2,9600	-0,018
3,0000	-0,021
3,0400	-0,016
3,0800	-0,004
3,1200	0,009
3,1600	0,018
3,2000	0,020
3,2400	0,014
3,2800	0,002
3,3200	-0,009
3,3600	-0,017
3,4000	-0,017
3,4400	-0,011
3,4800	3,750E-5
3,5200	0,010
3,5600	0,016
3,6000	0,016
3,6400	0,009
3,6800	-0,001
3,7200	-0,010
3,7600	-0,015
3,8000	-0,013
3,8400	-0,006
3,8800	0,003
3,9200	0,011
3,9600	0,014
4,0000	0,011
4,0400	0,005
4,0800	-0,004
4,1200	-0,010
4,1600	-0,012
4,2000	-0,009
4,2400	-0,002
4,2800	0,005
4,3200	0,010
4,3600	0,011
4,4000	0,008
4,4400	0,001
4,4800	-0,005
4,5200	-0,010
4,5600	-0,010
4,6000	-0,006
4,6400	3,375E-4
4,6800	0,006
4,7200	0,009
4,7600	0,008
4,8000	0,005
4,8400	-0,001
4,8800	-0,006
4,9200	-0,008
4,9600	-0,007
5,0000	-0,003
5,0400	0,002
5,0800	0,006
5,1200	0,008
5,1600	0,006
5,2000	0,002
5,2400	-0,002
5,2800	-0,006
5,3200	-0,006
5,3600	-0,004
5,4000	-9,000E-4
5,4400	0,003
5,4800	0,005
5,5200	0,006
5,5600	0,004
5,6000	4,125E-4
5,6400	-0,003
5,6800	-0,005
5,7200	-0,004
5,7600	-0,002
5,8000	5,250E-4
5,8400	0,003
5,8800	0,004
5,9200	0,004
5,9600	0,002
6,0000	-6,750E-4
6,0400	-0,003
6,0800	-0,004
6,1200	-0,003
6,1600	-9,375E-4
6,2000	0,001
6,2400	0,003
6,2800	0,003
6,3200	0,002
6,3600	6,375E-4
6,4000	-0,001
6,4400	-0,002
6,4800	-0,002
6,5200	-0,001
6,5600	0,000
6,6000	0,001
6,6400	0,002
6,6800	0,002
6,7200	0,001
6,7600	-3,750E-5
6,8000	-0,001
6,8400	-0,001
6,8800	-0,001
6,9200	-4,125E-4
6,9600	4,125E-4
7,0000	0,001
7,0400	0,001
7,0800	9,000E-4
7,1200	3,750E-4
7,1600	-1,875E-4
7,2000	-5,250E-4
7,2400	-5,250E-4
7,2800	-3,000E-4
7,3200	0,000
7,3600	3,000E-4
7,4000	3,750E-4
7,4400	3,750E-4
7,4800	2,625E-4
7,5200	1,500E-4
7,5600	7,500E-5
7,6000	3,750E-5
7,6400	7,500E-5
7,6800	7,500E-5
7,7200	1,125E-4
7,7600	1,125E-4
7,8000	1,500E-4
7,8400	1,125E-4
7,8800	1,125E-4
7,9200	1,125E-4
