#Linear Position, Run #2
#Time ( s )	Linear Position ( m )
4,1600	-0,003
4,2000	0,017
4,2400	0,032
4,2800	0,038
4,3200	0,032
4,3600	0,017
4,4000	-0,002
4,4400	-0,020
4,4800	-0,033
4,5200	-0,035
4,5600	-0,028
4,6000	-0,013
4,6400	0,006
4,6800	0,022
4,7200	0,032
4,7600	0,032
4,8000	0,023
4,8400	0,008
4,8800	-0,009
4,9200	-0,024
4,9600	-0,031
5,0000	-0,029
5,0400	-0,019
5,0800	-0,004
5,1200	0,012
5,1600	0,024
5,2000	0,029
5,2400	0,026
5,2800	0,015
5,3200	6,750E-4
5,3600	-0,013
5,4000	-0,023
5,4400	-0,026
5,4800	-0,022
5,5200	-0,011
5,5600	0,002
5,6000	0,015
5,6400	0,023
5,6800	0,024
5,7200	0,018
5,7600	0,008
5,8000	-0,005
5,8400	-0,015
5,8800	-0,021
5,9200	-0,021
5,9600	-0,015
6,0000	-0,005
6,0400	0,006
6,0800	0,015
6,1200	0,019
6,1600	0,017
6,2000	0,011
6,2400	0,002
6,2800	-0,007
6,3200	-0,014
6,3600	-0,016
6,4000	-0,014
6,4400	-0,008
6,4800	3,750E-5
6,5200	0,007
6,5600	0,012
6,6000	0,013
6,6400	0,011
6,6800	0,005
6,7200	-0,001
6,7600	-0,007
6,8000	-0,010
6,8400	-0,010
6,8800	-0,007
6,9200	-0,003
6,9600	0,003
7,0000	0,007
7,0400	0,009
7,0800	0,008
7,1200	0,005
7,1600	0,001
7,2000	-0,003
7,2400	-0,006
7,2800	-0,006
7,3200	-0,005
7,3600	-0,003
7,4000	7,500E-5
7,4400	0,003
7,4800	0,005
7,5200	0,005
7,5600	0,004
7,6000	0,002
7,6400	-5,625E-4
7,6800	-0,003
7,7200	-0,004
7,7600	-0,003
7,8000	-0,002
7,8400	-6,750E-4
7,8800	9,750E-4
7,9200	0,002
7,9600	0,002
8,0000	0,002
8,0400	0,001
8,0800	1,500E-4
8,1200	-6,000E-4
8,1600	-0,001
8,2000	-0,001
8,2400	-7,500E-4
8,2800	-3,000E-4
8,3200	7,500E-5
8,3600	3,375E-4
8,4000	3,750E-4
8,4400	2,625E-4
