#Position, Run #5
#Time ( s )	Position ( m )
12,0000	0,080
12,0400	0,067
12,0800	0,053
12,1200	0,038
12,1600	0,023
12,2000	0,007
12,2400	-0,009
12,2800	-0,024
12,3200	-0,039
12,3600	-0,053
12,4000	-0,065
12,4400	-0,077
12,4800	-0,087
12,5200	-0,095
12,5600	-0,100
12,6000	-0,104
12,6400	-0,105
12,6800	-0,105
12,7200	-0,102
12,7600	-0,097
12,8000	-0,090
12,8400	-0,081
12,8800	-0,071
12,9200	-0,059
12,9600	-0,046
13,0000	-0,032
13,0400	-0,017
13,0800	-0,002
13,1200	0,013
13,1600	0,028
13,2000	0,043
13,2400	0,056
13,2800	0,069
13,3200	0,080
13,3600	0,089
13,4000	0,097
13,4400	0,103
13,4800	0,107
13,5200	0,108
13,5600	0,108
13,6000	0,106
13,6400	0,101
13,6800	0,095
13,7200	0,087
13,7600	0,077
13,8000	0,066
13,8400	0,053
13,8800	0,040
13,9200	0,026
13,9600	0,011
14,0000	-0,003
14,0400	-0,018
14,0800	-0,031
14,1200	-0,045
14,1600	-0,057
14,2000	-0,068
14,2400	-0,077
14,2800	-0,085
14,3200	-0,091
14,3600	-0,095
14,4000	-0,097
14,4400	-0,097
14,4800	-0,095
14,5200	-0,091
14,5600	-0,085
14,6000	-0,078
14,6400	-0,068
14,6800	-0,058
14,7200	-0,046
14,7600	-0,033
14,8000	-0,020
14,8400	-0,006
14,8800	0,008
14,9200	0,022
14,9600	0,035
15,0000	0,048
15,0400	0,060
15,0800	0,071
15,1200	0,080
15,1600	0,088
15,2000	0,094
15,2400	0,098
15,2800	0,100
15,3200	0,100
15,3600	0,099
15,4000	0,095
15,4400	0,090
15,4800	0,083
15,5200	0,075
15,5600	0,065
15,6000	0,054
15,6400	0,042
15,6800	0,029
15,7200	0,015
15,7600	0,002
15,8000	-0,012
15,8400	-0,025
15,8800	-0,037
15,9200	-0,048
15,9600	-0,059
16,0000	-0,068
16,0400	-0,076
16,0800	-0,082
16,1200	-0,086
16,1600	-0,089
16,2000	-0,089
16,2400	-0,088
16,2800	-0,085
16,3200	-0,080
16,3600	-0,074
16,4000	-0,066
16,4400	-0,056
16,4800	-0,046
16,5200	-0,035
16,5600	-0,023
16,6000	-0,010
16,6400	0,003
16,6800	0,016
16,7200	0,029
16,7600	0,041
16,8000	0,052
16,8400	0,062
16,8800	0,071
16,9200	0,079
16,9600	0,085
17,0000	0,089
17,0400	0,092
17,0800	0,093
17,1200	0,092
17,1600	0,090
17,2000	0,085
17,2400	0,080
17,2800	0,072
17,3200	0,063
17,3600	0,054
17,4000	0,043
17,4400	0,031
17,4800	0,019
17,5200	0,007
17,5600	-0,005
17,6000	-0,018
17,6400	-0,029
17,6800	-0,040
17,7200	-0,050
17,7600	-0,059
17,8000	-0,067
17,8400	-0,073
17,8800	-0,078
17,9200	-0,080
17,9600	-0,082
18,0000	-0,081
18,0400	-0,079
18,0800	-0,075
18,1200	-0,070
18,1600	-0,063
18,2000	-0,055
18,2400	-0,045
18,2800	-0,035
18,3200	-0,024
18,3600	-0,013
18,4000	-0,001
18,4400	0,011
18,4800	0,023
18,5200	0,034
18,5600	0,044
18,6000	0,054
18,6400	0,063
18,6800	0,070
18,7200	0,076
18,7600	0,081
18,8000	0,084
18,8400	0,085
18,8800	0,085
18,9200	0,083
18,9600	0,080
19,0000	0,075
19,0400	0,069
19,0800	0,061
19,1200	0,053
19,1600	0,043
19,2000	0,033
19,2400	0,022
19,2800	0,011
19,3200	-8,333E-4
19,3600	-0,012
19,4000	-0,023
19,4400	-0,033
19,4800	-0,043
19,5200	-0,051
19,5600	-0,058
19,6000	-0,065
19,6400	-0,069
19,6800	-0,073
19,7200	-0,074
19,7600	-0,074
19,8000	-0,073
19,8400	-0,070
19,8800	-0,065
19,9200	-0,060
19,9600	-0,053
20,0000	-0,045
20,0400	-0,036
20,0800	-0,026
20,1200	-0,015
20,1600	-0,005
20,2000	0,006
20,2400	0,017
20,2800	0,027
20,3200	0,037
20,3600	0,046
20,4000	0,055
20,4400	0,062
20,4800	0,068
20,5200	0,073
20,5600	0,076
20,6000	0,078
20,6400	0,078
20,6800	0,077
20,7200	0,075
20,7600	0,071
20,8000	0,065
20,8400	0,059
20,8800	0,052
20,9200	0,043
20,9600	0,034
21,0000	0,024
21,0400	0,014
21,0800	0,004
21,1200	-0,007
21,1600	-0,017
21,2000	-0,026
21,2400	-0,035
21,2800	-0,043
21,3200	-0,050
21,3600	-0,057
21,4000	-0,061
21,4400	-0,065
21,4800	-0,067
21,5200	-0,068
21,5600	-0,067
21,6000	-0,065
21,6400	-0,061
21,6800	-0,056
21,7200	-0,050
21,7600	-0,043
21,8000	-0,035
21,8400	-0,027
21,8800	-0,018
21,9200	-0,008
21,9600	0,002
22,0000	0,012
22,0400	0,021
22,0800	0,031
22,1200	0,039
22,1600	0,047
22,2000	0,055
22,2400	0,060
22,2800	0,065
22,3200	0,069
22,3600	0,071
22,4000	0,072
22,4400	0,072
22,4800	0,070
22,5200	0,067
22,5600	0,063
22,6000	0,057
22,6400	0,050
22,6800	0,043
22,7200	0,035
22,7600	0,026
22,8000	0,017
22,8400	0,008
22,8800	-0,002
22,9200	-0,011
22,9600	-0,020
23,0000	-0,028
23,0400	-0,036
23,0800	-0,043
23,1200	-0,049
23,1600	-0,054
23,2000	-0,058
23,2400	-0,060
23,2800	-0,062
23,3200	-0,061
23,3600	-0,060
23,4000	-0,057
23,4400	-0,053
23,4800	-0,048
23,5200	-0,043
23,5600	-0,035
23,6000	-0,028
23,6400	-0,020
23,6800	-0,011
23,7200	-0,002
23,7600	0,007
23,8000	0,016
23,8400	0,025
23,8800	0,033
23,9200	0,040
23,9600	0,047
24,0000	0,053
24,0400	0,058
24,0800	0,062
24,1200	0,064
24,1600	0,066
24,2000	0,066
24,2400	0,065
24,2800	0,063
24,3200	0,059
24,3600	0,055
24,4000	0,049
24,4400	0,043
24,4800	0,035
24,5200	0,028
24,5600	0,020
24,6000	0,011
24,6400	0,003
24,6800	-0,006
24,7200	-0,015
24,7600	-0,022
24,8000	-0,030
24,8400	-0,036
24,8800	-0,042
24,9200	-0,047
24,9600	-0,051
25,0000	-0,053
25,0400	-0,055
25,0800	-0,055
25,1200	-0,055
25,1600	-0,053
25,2000	-0,050
25,2400	-0,045
25,2800	-0,040
25,3200	-0,035
25,3600	-0,028
25,4000	-0,021
25,4400	-0,013
25,4800	-0,005
25,5200	0,003
25,5600	0,011
25,6000	0,019
25,6400	0,027
25,6800	0,034
25,7200	0,040
25,7600	0,046
25,8000	0,051
25,8400	0,055
25,8800	0,058
25,9200	0,059
25,9600	0,060
26,0000	0,059
26,0400	0,058
26,0800	0,055
26,1200	0,051
26,1600	0,047
26,2000	0,041
26,2400	0,035
26,2800	0,029
26,3200	0,021
26,3600	0,014
26,4000	0,006
26,4400	-0,002
26,4800	-0,009
26,5200	-0,016
26,5600	-0,023
26,6000	-0,029
26,6400	-0,035
26,6800	-0,040
26,7200	-0,043
26,7600	-0,046
26,8000	-0,048
26,8400	-0,049
26,8800	-0,049
26,9200	-0,047
26,9600	-0,045
27,0000	-0,042
27,0400	-0,038
27,0800	-0,033
27,1200	-0,028
27,1600	-0,021
27,2000	-0,015
27,2400	-0,008
27,2800	-4,167E-4
27,3200	0,007
27,3600	0,014
27,4000	0,021
27,4400	0,028
27,4800	0,034
27,5200	0,039
27,5600	0,044
27,6000	0,047
27,6400	0,050
27,6800	0,052
27,7200	0,053
27,7600	0,053
27,8000	0,052
27,8400	0,050
27,8800	0,047
27,9200	0,044
27,9600	0,040
28,0000	0,034
28,0400	0,028
28,0800	0,022
28,1200	0,016
28,1600	0,009
28,2000	0,002
28,2400	-0,005
28,2800	-0,011
28,3200	-0,018
28,3600	-0,023
28,4000	-0,029
28,4400	-0,033
28,4800	-0,037
28,5200	-0,040
28,5600	-0,042
28,6000	-0,043
28,6400	-0,043
28,6800	-0,043
28,7200	-0,041
28,7600	-0,038
28,8000	-0,035
28,8400	-0,031
28,8800	-0,026
28,9200	-0,021
28,9600	-0,015
29,0000	-0,009
29,0400	-0,003
29,0800	0,004
29,1200	0,010
29,1600	0,016
29,2000	0,023
29,2400	0,028
29,2800	0,033
29,3200	0,038
29,3600	0,041
29,4000	0,044
29,4400	0,046
29,4800	0,047
29,5200	0,048
29,5600	0,047
29,6000	0,046
29,6400	0,044
29,6800	0,041
29,7200	0,037
29,7600	0,033
29,8000	0,028
29,8400	0,023
29,8800	0,017
29,9200	0,011
29,9600	0,005
30,0000	-8,333E-4
30,0400	-0,007
30,0800	-0,013
30,1200	-0,018
30,1600	-0,023
30,2000	-0,027
30,2400	-0,031
30,2800	-0,034
30,3200	-0,036
30,3600	-0,037
30,4000	-0,038
30,4400	-0,038
30,4800	-0,036
30,5200	-0,035
30,5600	-0,032
30,6000	-0,029
30,6400	-0,025
30,6800	-0,020
30,7200	-0,015
30,7600	-0,010
30,8000	-0,005
30,8400	0,001
30,8800	0,007
30,9200	0,013
30,9600	0,018
31,0000	0,023
31,0400	0,028
31,0800	0,032
31,1200	0,035
31,1600	0,038
31,2000	0,040
31,2400	0,042
31,2800	0,043
31,3200	0,043
31,3600	0,042
31,4000	0,040
31,4400	0,038
31,4800	0,035
31,5200	0,031
31,5600	0,027
31,6000	0,023
31,6400	0,018
31,6800	0,013
31,7200	0,007
31,7600	0,002
31,8000	-0,003
31,8400	-0,008
31,8800	-0,013
31,9200	-0,018
31,9600	-0,022
32,0000	-0,025
32,0400	-0,028
32,0800	-0,030
32,1200	-0,032
32,1600	-0,032
32,2000	-0,032
32,2400	-0,032
32,2800	-0,030
32,3200	-0,029
32,3600	-0,026
32,4000	-0,023
32,4400	-0,019
32,4800	-0,015
32,5200	-0,010
32,5600	-0,006
32,6000	-8,333E-4
32,6400	0,004
32,6800	0,009
32,7200	0,014
32,7600	0,018
32,8000	0,023
32,8400	0,026
32,8800	0,030
32,9200	0,032
32,9600	0,035
33,0000	0,036
33,0400	0,037
33,0800	0,038
33,1200	0,037
33,1600	0,036
33,2000	0,034
33,2400	0,032
33,2800	0,029
33,3200	0,025
33,3600	0,022
33,4000	0,018
33,4400	0,013
33,4800	0,009
33,5200	0,004
33,5600	-4,167E-4
33,6000	-0,005
33,6400	-0,009
33,6800	-0,013
33,7200	-0,017
33,7600	-0,020
33,8000	-0,023
33,8400	-0,025
33,8800	-0,026
33,9200	-0,027
33,9600	-0,028
34,0000	-0,027
34,0400	-0,026
34,0800	-0,025
34,1200	-0,023
34,1600	-0,020
34,2000	-0,018
34,2400	-0,014
34,2800	-0,010
34,3200	-0,006
34,3600	-0,002
34,4000	0,002
34,4400	0,006
34,4800	0,010
34,5200	0,015
34,5600	0,018
34,6000	0,022
34,6400	0,025
34,6800	0,028
34,7200	0,030
34,7600	0,031
34,8000	0,032
34,8400	0,032
34,8800	0,032
34,9200	0,032
34,9600	0,030
35,0000	0,028
35,0400	0,026
35,0800	0,024
35,1200	0,020
35,1600	0,017
35,2000	0,013
35,2400	0,010
35,2800	0,006
35,3200	0,002
35,3600	-0,002
35,4000	-0,005
35,4400	-0,009
35,4800	-0,012
35,5200	-0,015
35,5600	-0,018
35,6000	-0,020
35,6400	-0,021
35,6800	-0,022
35,7200	-0,023
35,7600	-0,023
