#Position, Run #14
#Time ( s )	Position ( m )
4,6000	-0,027
4,6400	-0,012
4,6800	0,002
4,7200	0,015
4,7600	0,028
4,8000	0,040
4,8400	0,051
4,8800	0,060
4,9200	0,068
4,9600	0,075
5,0000	0,080
5,0400	0,083
5,0800	0,084
5,1200	0,084
5,1600	0,082
5,2000	0,078
5,2400	0,073
5,2800	0,067
5,3200	0,060
5,3600	0,051
5,4000	0,042
5,4400	0,032
5,4800	0,022
5,5200	0,012
5,5600	0,002
5,6000	-0,008
5,6400	-0,018
5,6800	-0,027
5,7200	-0,035
5,7600	-0,042
5,8000	-0,048
5,8400	-0,053
5,8800	-0,057
5,9200	-0,060
5,9600	-0,061
6,0000	-0,061
6,0400	-0,060
6,0800	-0,057
6,1200	-0,054
6,1600	-0,050
6,2000	-0,044
6,2400	-0,038
6,2800	-0,032
6,3200	-0,025
6,3600	-0,018
6,4000	-0,010
6,4400	-0,003
6,4800	0,004
6,5200	0,010
6,5600	0,017
6,6000	0,023
6,6400	0,028
6,6800	0,032
6,7200	0,036
6,7600	0,039
6,8000	0,041
6,8400	0,043
6,8800	0,043
6,9200	0,042
6,9600	0,041
7,0000	0,039
7,0400	0,036
7,0800	0,032
7,1200	0,028
7,1600	0,024
7,2000	0,019
7,2400	0,014
7,2800	0,009
7,3200	0,004
7,3600	-0,001
7,4000	-0,006
7,4400	-0,011
7,4800	-0,015
7,5200	-0,019
7,5600	-0,022
7,6000	-0,025
7,6400	-0,027
7,6800	-0,028
7,7200	-0,030
7,7600	-0,030
7,8000	-0,030
7,8400	-0,028
7,8800	-0,027
7,9200	-0,025
7,9600	-0,023
8,0000	-0,020
8,0400	-0,017
8,0800	-0,014
8,1200	-0,010
8,1600	-0,007
8,2000	-0,004
8,2400	0,000
8,2800	0,003
8,3200	0,006
8,3600	0,009
8,4000	0,012
8,4400	0,014
8,4800	0,016
8,5200	0,018
8,5600	0,019
8,6000	0,020
8,6400	0,020
8,6800	0,020
8,7200	0,019
8,7600	0,018
8,8000	0,017
8,8400	0,015
8,8800	0,014
8,9200	0,012
8,9600	0,010
9,0000	0,008
9,0400	0,005
9,0800	0,003
9,1200	4,167E-4
9,1600	-0,002
9,2000	-0,004
9,2400	-0,006
9,2800	-0,008
9,3200	-0,009
9,3600	-0,010
9,4000	-0,012
9,4400	-0,012
9,4800	-0,013
9,5200	-0,013
9,5600	-0,013
9,6000	-0,013
9,6400	-0,012
9,6800	-0,011
9,7200	-0,010
9,7600	-0,009
9,8000	-0,008
9,8400	-0,007
9,8800	-0,005
9,9200	-0,004
9,9600	-0,002
10,0000	-4,167E-4
10,0400	8,333E-4
10,0800	0,002
10,1200	0,003
10,1600	0,005
10,2000	0,005
10,2400	0,006
10,2800	0,007
10,3200	0,008
10,3600	0,008
10,4000	0,008
10,4400	0,008
10,4800	0,008
10,5200	0,008
10,5600	0,007
10,6000	0,006
10,6400	0,005
10,6800	0,005
10,7200	0,004
10,7600	0,003
10,8000	0,002
10,8400	0,001
10,8800	4,167E-4
10,9200	-4,167E-4
10,9600	-0,001
11,0000	-0,002
11,0400	-0,003
11,0800	-0,003
11,1200	-0,004
11,1600	-0,004
11,2000	-0,004
11,2400	-0,004
11,2800	-0,004
11,3200	-0,004
11,3600	-0,004
11,4000	-0,004
11,4400	-0,004
11,4800	-0,003
11,5200	-0,003
11,5600	-0,003
11,6000	-0,002
11,6400	-0,002
11,6800	-0,001
11,7200	-8,333E-4
11,7600	-4,167E-4
11,8000	0,000
11,8400	4,167E-4
11,8800	8,333E-4
11,9200	0,001
11,9600	0,002
12,0000	0,002
12,0400	0,002
12,0800	0,002
12,1200	0,002
12,1600	0,002
12,2000	0,002
12,2400	0,002
12,2800	0,002
12,3200	0,002
12,3600	0,001
12,4000	0,001
12,4400	8,333E-4
12,4800	8,333E-4
12,5200	4,167E-4
12,5600	4,167E-4
12,6000	0,000
12,6400	0,000
12,6800	0,000
12,7200	-4,167E-4
12,7600	-4,167E-4
12,8000	-8,333E-4
12,8400	-8,333E-4
12,8800	-8,333E-4
12,9200	-8,333E-4
12,9600	-8,333E-4
13,0000	-8,333E-4
13,0400	-8,333E-4
13,0800	-8,333E-4
13,1200	-4,167E-4
13,1600	-4,167E-4
13,2000	-4,167E-4
13,2400	-4,167E-4
13,2800	-4,167E-4
13,3200	-4,167E-4
13,3600	0,000
13,4000	0,000
13,4400	0,000
13,4800	0,000
13,5200	0,000
13,5600	0,000
13,6000	0,000
13,6400	0,000
13,6800	0,000
13,7200	0,000
13,7600	0,000
13,8000	0,000
13,8400	0,000
13,8800	0,000
13,9200	0,000
13,9600	0,000
14,0000	0,000
14,0400	0,000
14,0800	0,000
14,1200	0,000
14,1600	0,000
14,2000	0,000
14,2400	0,000
14,2800	0,000
14,3200	0,000
14,3600	0,000
14,4000	0,000
14,4400	0,000
14,4800	0,000
14,5200	0,000
14,5600	0,000
14,6000	0,000
14,6400	0,000
14,6800	0,000
14,7200	0,000
14,7600	0,000
14,8000	0,000
14,8400	0,000
14,8800	0,000
14,9200	0,000
14,9600	0,000
15,0000	0,000
15,0400	0,000
15,0800	0,000
15,1200	0,000
15,1600	0,000
15,2000	0,000
15,2400	0,000
15,2800	0,000
15,3200	0,000
15,3600	0,000
15,4000	0,000
15,4400	0,000
15,4800	0,000
15,5200	0,000
15,5600	0,000
15,6000	0,000
15,6400	0,000
15,6800	0,000
15,7200	0,000
15,7600	0,000
15,8000	0,000
15,8400	0,000
15,8800	0,000
15,9200	0,000
15,9600	0,000
16,0000	0,000
16,0400	0,000
16,0800	0,000
16,1200	0,000
16,1600	0,000
16,2000	0,000
16,2400	0,000
16,2800	0,000
16,3200	0,000
16,3600	0,000
16,4000	0,000
16,4400	0,000
16,4800	0,000
16,5200	0,000
16,5600	0,000
16,6000	0,000
16,6400	0,000
16,6800	0,000
16,7200	0,000
16,7600	0,000
16,8000	0,000
16,8400	0,000
16,8800	0,000
16,9200	0,000
16,9600	0,000
17,0000	0,000
17,0400	0,000
17,0800	0,000
17,1200	0,000
17,1600	0,000
17,2000	0,000
17,2400	0,000
17,2800	0,000
17,3200	0,000
17,3600	0,000
17,4000	0,000
17,4400	0,000
17,4800	0,000
17,5200	0,000
17,5600	0,000
17,6000	0,000
17,6400	0,000
17,6800	0,000
17,7200	0,000
17,7600	0,000
17,8000	0,000
17,8400	0,000
17,8800	0,000
17,9200	0,000
17,9600	0,000
18,0000	0,000
18,0400	0,000
18,0800	0,000
18,1200	0,000
18,1600	0,000
18,2000	0,000
18,2400	0,000
18,2800	0,000
18,3200	0,000
18,3600	0,000
