Position, Run #20
Time ( s )	Position ( m )
0,0000	0,000
0,0400	0,000
0,0800	0,000
0,1200	0,000
0,1600	0,000
0,2000	0,000
0,2400	0,000
0,2800	0,000
0,3200	0,000
0,3600	0,000
0,4000	0,000
0,4400	0,000
0,4800	0,000
0,5200	0,000
0,5600	0,000
0,6000	0,000
0,6400	0,000
0,6800	0,000
0,7200	0,000
0,7600	0,000
0,8000	0,000
0,8400	0,000
0,8800	0,000
0,9200	0,000
0,9600	0,000
1,0000	0,000
1,0400	0,000
1,0800	0,000
1,1200	0,000
1,1600	0,000
1,2000	0,000
1,2400	0,000
1,2800	0,000
1,3200	0,000
1,3600	0,000
1,4000	0,000
1,4400	0,000
1,4800	-4,167E-4
1,5200	-0,001
1,5600	-0,003
1,6000	-0,005
1,6400	-0,008
1,6800	-0,012
1,7200	-0,015
1,7600	-0,020
1,8000	-0,024
1,8400	-0,028
1,8800	-0,033
1,9200	-0,038
1,9600	-0,043
2,0000	-0,048
2,0400	-0,053
2,0800	-0,058
2,1200	-0,063
2,1600	-0,067
2,2000	-0,071
2,2400	-0,075
2,2800	-0,078
2,3200	-0,081
2,3600	-0,084
2,4000	-0,088
2,4400	-0,091
2,4800	-0,094
2,5200	-0,096
2,5600	-0,099
2,6000	-0,102
2,6400	-0,104
2,6800	-0,106
2,7200	-0,108
2,7600	-0,110
2,8000	-0,111
2,8400	-0,112
2,8800	-0,113
2,9200	-0,114
2,9600	-0,115
3,0000	-0,115
3,0400	-0,116
3,0800	-0,117
3,1200	-0,117
3,1600	-0,117
3,2000	-0,117
3,2400	-0,117
3,2800	-0,117
3,3200	-0,117
3,3600	-0,117
3,4000	-0,117
3,4400	-0,117
3,4800	-0,117
3,5200	-0,118
3,5600	-0,119
3,6000	-0,119
3,6400	-0,119
3,6800	-0,119
3,7200	-0,118
3,7600	-0,118
3,8000	-0,117
3,8400	-0,116
3,8800	-0,115
3,9200	-0,115
3,9600	-0,115
4,0000	-0,115
4,0400	-0,115
4,0800	-0,115
4,1200	-0,116
4,1600	-0,117
4,2000	-0,117
4,2400	-0,117
4,2800	-0,117
4,3200	-0,118
4,3600	-0,117
4,4000	-0,117
4,4400	-0,117
4,4800	-0,117
4,5200	-0,117
4,5600	-0,117
4,6000	-0,116
4,6400	-0,115
4,6800	-0,110
4,7200	-0,104
4,7600	-0,096
4,8000	-0,087
4,8400	-0,075
4,8800	-0,063
4,9200	-0,050
4,9600	-0,035
5,0000	-0,021
5,0400	-0,006
5,0800	0,008
5,1200	0,022
5,1600	0,035
5,2000	0,047
5,2400	0,058
5,2800	0,068
5,3200	0,076
5,3600	0,083
5,4000	0,087
5,4400	0,090
5,4800	0,091
5,5200	0,090
5,5600	0,088
5,6000	0,083
5,6400	0,077
5,6800	0,070
5,7200	0,061
5,7600	0,052
5,8000	0,042
5,8400	0,030
5,8800	0,019
5,9200	0,008
5,9600	-0,004
6,0000	-0,015
6,0400	-0,025
6,0800	-0,035
6,1200	-0,044
6,1600	-0,052
6,2000	-0,058
6,2400	-0,064
6,2800	-0,068
6,3200	-0,070
6,3600	-0,071
6,4000	-0,071
6,4400	-0,069
6,4800	-0,066
6,5200	-0,062
6,5600	-0,056
6,6000	-0,050
6,6400	-0,042
6,6800	-0,034
6,7200	-0,026
6,7600	-0,017
6,8000	-0,008
6,8400	8,333E-4
6,8800	0,010
6,9200	0,018
6,9600	0,025
7,0000	0,032
7,0400	0,039
7,0800	0,044
7,1200	0,048
7,1600	0,052
7,2000	0,054
7,2400	0,055
7,2800	0,055
7,3200	0,054
7,3600	0,052
7,4000	0,049
7,4400	0,045
7,4800	0,040
7,5200	0,034
7,5600	0,028
7,6000	0,022
7,6400	0,015
7,6800	0,008
7,7200	0,001
7,7600	-0,006
7,8000	-0,012
7,8400	-0,018
7,8800	-0,024
7,9200	-0,029
7,9600	-0,033
8,0000	-0,037
8,0400	-0,040
8,0800	-0,041
8,1200	-0,042
8,1600	-0,043
8,2000	-0,042
8,2400	-0,040
8,2800	-0,038
8,3200	-0,035
8,3600	-0,031
8,4000	-0,027
8,4400	-0,022
8,4800	-0,017
8,5200	-0,012
8,5600	-0,007
8,6000	-0,002
8,6400	0,003
8,6800	0,008
8,7200	0,013
8,7600	0,018
8,8000	0,021
8,8400	0,025
8,8800	0,027
8,9200	0,030
8,9600	0,031
9,0000	0,032
9,0400	0,032
9,0800	0,032
9,1200	0,030
9,1600	0,029
9,2000	0,027
9,2400	0,024
9,2800	0,021
9,3200	0,018
9,3600	0,014
9,4000	0,010
9,4400	0,006
9,4800	0,002
9,5200	-0,002
9,5600	-0,005
9,6000	-0,009
9,6400	-0,013
9,6800	-0,015
9,7200	-0,018
9,7600	-0,020
9,8000	-0,022
9,8400	-0,023
9,8800	-0,023
9,9200	-0,024
9,9600	-0,023
10,0000	-0,023
10,0400	-0,021
10,0800	-0,020
10,1200	-0,018
