Position, Run #3
Time ( s )	Position ( m )
0,0000	0,000
0,0400	0,000
0,0800	0,000
0,1200	0,000
0,1600	0,000
0,2000	0,000
0,2400	0,000
0,2800	0,000
0,3200	0,000
0,3600	0,000
0,4000	0,000
0,4400	0,000
0,4800	0,000
0,5200	0,000
0,5600	0,000
0,6000	0,000
0,6400	0,000
0,6800	0,000
0,7200	0,000
0,7600	0,000
0,8000	0,000
0,8400	0,000
0,8800	0,000
0,9200	0,000
0,9600	0,000
1,0000	0,000
1,0400	0,000
1,0800	0,000
1,1200	0,000
1,1600	0,000
1,2000	0,000
1,2400	0,000
1,2800	0,000
1,3200	0,000
1,3600	0,000
1,4000	0,000
1,4400	0,000
1,4800	0,000
1,5200	0,000
1,5600	0,000
1,6000	0,000
1,6400	0,000
1,6800	0,000
1,7200	0,000
1,7600	0,000
1,8000	0,000
1,8400	0,000
1,8800	0,000
1,9200	0,000
1,9600	0,000
2,0000	0,000
2,0400	0,000
2,0800	0,000
2,1200	0,000
2,1600	0,000
2,2000	0,000
2,2400	0,000
2,2800	0,000
2,3200	0,000
2,3600	0,000
2,4000	0,000
2,4400	0,000
2,4800	0,000
2,5200	0,000
2,5600	0,000
2,6000	0,000
2,6400	0,000
2,6800	0,000
2,7200	0,000
2,7600	0,000
2,8000	4,167E-4
2,8400	4,167E-4
2,8800	4,167E-4
2,9200	4,167E-4
2,9600	4,167E-4
3,0000	4,167E-4
3,0400	4,167E-4
3,0800	4,167E-4
3,1200	4,167E-4
3,1600	4,167E-4
3,2000	4,167E-4
3,2400	4,167E-4
3,2800	0,000
3,3200	0,000
3,3600	0,000
3,4000	0,000
3,4400	0,000
3,4800	-4,167E-4
3,5200	-4,167E-4
3,5600	-4,167E-4
3,6000	-8,333E-4
3,6400	-0,001
3,6800	-0,002
3,7200	-0,003
3,7600	-0,004
3,8000	-0,005
3,8400	-0,005
3,8800	-0,006
3,9200	-0,008
3,9600	-0,010
4,0000	-0,012
4,0400	-0,015
4,0800	-0,018
4,1200	-0,020
4,1600	-0,023
4,2000	-0,027
4,2400	-0,030
4,2800	-0,033
4,3200	-0,037
4,3600	-0,040
4,4000	-0,044
4,4400	-0,047
4,4800	-0,051
4,5200	-0,055
4,5600	-0,058
4,6000	-0,063
4,6400	-0,067
4,6800	-0,071
4,7200	-0,076
4,7600	-0,080
4,8000	-0,085
4,8400	-0,089
4,8800	-0,094
4,9200	-0,098
4,9600	-0,101
5,0000	-0,104
5,0400	-0,107
5,0800	-0,109
5,1200	-0,111
5,1600	-0,112
5,2000	-0,113
5,2400	-0,112
5,2800	-0,111
5,3200	-0,110
5,3600	-0,108
5,4000	-0,105
5,4400	-0,103
5,4800	-0,099
5,5200	-0,096
5,5600	-0,092
5,6000	-0,088
5,6400	-0,083
5,6800	-0,079
5,7200	-0,075
5,7600	-0,071
5,8000	-0,067
5,8400	-0,063
5,8800	-0,060
5,9200	-0,057
5,9600	-0,055
6,0000	-0,052
6,0400	-0,051
6,0800	-0,050
6,1200	-0,050
6,1600	-0,050
6,2000	-0,050
6,2400	-0,052
6,2800	-0,053
6,3200	-0,056
6,3600	-0,058
6,4000	-0,061
6,4400	-0,065
6,4800	-0,068
6,5200	-0,072
6,5600	-0,076
6,6000	-0,080
6,6400	-0,084
6,6800	-0,088
6,7200	-0,091
6,7600	-0,095
6,8000	-0,098
6,8400	-0,100
6,8800	-0,103
6,9200	-0,105
6,9600	-0,106
7,0000	-0,107
7,0400	-0,108
7,0800	-0,108
7,1200	-0,107
7,1600	-0,105
7,2000	-0,104
7,2400	-0,102
7,2800	-0,099
7,3200	-0,097
7,3600	-0,093
7,4000	-0,090
7,4400	-0,087
7,4800	-0,083
7,5200	-0,080
7,5600	-0,076
7,6000	-0,073
7,6400	-0,069
7,6800	-0,066
7,7200	-0,063
7,7600	-0,061
7,8000	-0,059
7,8400	-0,057
7,8800	-0,056
7,9200	-0,055
7,9600	-0,055
8,0000	-0,055
8,0400	-0,055
8,0800	-0,056
8,1200	-0,058
8,1600	-0,060
8,2000	-0,062
8,2400	-0,065
8,2800	-0,067
8,3200	-0,070
8,3600	-0,073
8,4000	-0,077
8,4400	-0,080
8,4800	-0,083
8,5200	-0,086
8,5600	-0,089
8,6000	-0,092
8,6400	-0,095
8,6800	-0,097
8,7200	-0,099
8,7600	-0,100
8,8000	-0,102
8,8400	-0,103
8,8800	-0,103
8,9200	-0,103
8,9600	-0,102
9,0000	-0,101
9,0400	-0,100
9,0800	-0,098
9,1200	-0,096
9,1600	-0,094
9,2000	-0,091
9,2400	-0,088
9,2800	-0,086
9,3200	-0,083
9,3600	-0,080
9,4000	-0,077
9,4400	-0,074
9,4800	-0,071
9,5200	-0,069
9,5600	-0,066
9,6000	-0,064
9,6400	-0,063
9,6800	-0,061
9,7200	-0,060
9,7600	-0,059
9,8000	-0,059
9,8400	-0,059
9,8800	-0,060
