Position, Run #4
Time ( s )	Position ( m )
0,0000	0,000
0,0400	0,000
0,0800	0,000
0,1200	0,000
0,1600	0,000
0,2000	0,000
0,2400	0,000
0,2800	0,000
0,3200	0,000
0,3600	0,000
0,4000	0,000
0,4400	0,000
0,4800	0,000
0,5200	0,000
0,5600	0,000
0,6000	0,000
0,6400	0,000
0,6800	0,000
0,7200	0,000
0,7600	0,000
0,8000	0,000
0,8400	0,000
0,8800	0,000
0,9200	0,000
0,9600	0,000
1,0000	0,000
1,0400	0,000
1,0800	0,000
1,1200	0,000
1,1600	0,000
1,2000	0,000
1,2400	0,000
1,2800	0,000
1,3200	0,000
1,3600	0,000
1,4000	0,000
1,4400	0,000
1,4800	0,000
1,5200	0,000
1,5600	0,000
1,6000	0,000
1,6400	0,000
1,6800	0,000
1,7200	0,000
1,7600	0,000
1,8000	0,000
1,8400	0,000
1,8800	0,000
1,9200	0,000
1,9600	0,000
2,0000	0,000
2,0400	0,000
2,0800	0,000
2,1200	0,000
2,1600	0,000
2,2000	0,000
2,2400	0,000
2,2800	0,000
2,3200	0,000
2,3600	0,000
2,4000	0,000
2,4400	0,000
2,4800	0,000
2,5200	0,000
2,5600	0,000
2,6000	0,000
2,6400	0,000
2,6800	0,000
2,7200	0,000
2,7600	0,000
2,8000	0,000
2,8400	0,000
2,8800	0,000
2,9200	0,000
2,9600	0,000
3,0000	0,000
3,0400	0,000
3,0800	0,000
3,1200	0,000
3,1600	0,000
3,2000	0,000
3,2400	0,000
3,2800	0,000
3,3200	0,000
3,3600	0,000
3,4000	0,000
3,4400	0,000
3,4800	0,000
3,5200	0,000
3,5600	0,000
3,6000	0,000
3,6400	0,000
3,6800	0,000
3,7200	0,000
3,7600	0,000
3,8000	0,000
3,8400	0,000
3,8800	0,000
3,9200	0,000
3,9600	0,000
4,0000	0,000
4,0400	0,000
4,0800	0,000
4,1200	0,000
4,1600	0,000
4,2000	0,000
4,2400	0,000
4,2800	0,000
4,3200	0,000
4,3600	0,000
4,4000	0,000
4,4400	0,000
4,4800	0,000
4,5200	0,000
4,5600	0,000
4,6000	0,000
4,6400	0,000
4,6800	0,000
4,7200	0,000
4,7600	0,000
4,8000	0,000
4,8400	0,000
4,8800	0,000
4,9200	0,000
4,9600	0,000
5,0000	0,000
5,0400	0,000
5,0800	0,000
5,1200	0,000
5,1600	0,000
5,2000	0,000
5,2400	0,000
5,2800	0,000
5,3200	0,000
5,3600	0,000
5,4000	0,000
5,4400	0,000
5,4800	0,000
5,5200	0,000
5,5600	0,000
5,6000	0,000
5,6400	0,000
5,6800	0,000
5,7200	0,000
5,7600	0,000
5,8000	0,000
5,8400	0,000
5,8800	0,000
5,9200	0,000
5,9600	0,000
6,0000	0,000
6,0400	0,000
6,0800	0,000
6,1200	0,000
6,1600	0,000
6,2000	0,000
6,2400	0,000
6,2800	0,000
6,3200	0,000
6,3600	0,000
6,4000	0,000
6,4400	0,000
6,4800	0,000
6,5200	0,000
6,5600	0,000
6,6000	0,000
6,6400	0,000
6,6800	0,000
6,7200	0,000
6,7600	0,000
6,8000	0,000
6,8400	0,000
6,8800	0,000
6,9200	0,000
6,9600	0,000
7,0000	0,000
7,0400	0,000
7,0800	0,000
7,1200	0,000
7,1600	0,000
7,2000	0,000
7,2400	0,000
7,2800	0,000
7,3200	0,000
7,3600	0,000
7,4000	0,000
7,4400	0,000
7,4800	0,000
7,5200	0,000
7,5600	0,000
7,6000	0,000
7,6400	0,000
7,6800	0,000
7,7200	0,000
7,7600	0,000
7,8000	0,000
7,8400	0,000
7,8800	0,000
7,9200	0,000
7,9600	0,000
8,0000	0,000
8,0400	0,000
8,0800	0,000
8,1200	0,000
8,1600	0,000
8,2000	0,000
8,2400	0,000
8,2800	0,000
8,3200	0,000
8,3600	0,000
8,4000	0,000
8,4400	0,000
8,4800	0,000
8,5200	0,000
8,5600	0,000
8,6000	0,000
8,6400	0,000
8,6800	0,000
8,7200	0,000
8,7600	0,000
8,8000	0,000
8,8400	0,000
8,8800	0,000
8,9200	0,000
8,9600	0,000
9,0000	0,000
9,0400	0,000
9,0800	0,000
9,1200	0,000
9,1600	0,000
9,2000	0,000
9,2400	0,000
9,2800	0,000
9,3200	0,000
9,3600	0,000
9,4000	0,000
9,4400	0,000
9,4800	0,000
9,5200	0,000
9,5600	0,000
9,6000	0,000
9,6400	0,000
9,6800	0,000
9,7200	0,000
9,7600	0,000
9,8000	0,000
9,8400	0,000
9,8800	0,000
9,9200	0,000
9,9600	0,000
10,0000	0,000
10,0400	0,000
10,0800	0,000
10,1200	0,000
10,1600	0,000
10,2000	0,000
10,2400	0,000
10,2800	0,000
10,3200	0,000
10,3600	0,000
10,4000	0,000
10,4400	0,000
10,4800	0,000
10,5200	0,000
10,5600	0,000
10,6000	0,000
10,6400	0,000
10,6800	0,000
10,7200	0,000
10,7600	0,000
10,8000	0,000
