#H	B	H	B
353,1564	2,5165	352,0023	2,4904
-353,1564	-2,4122	-13,8493	-1,3169
302,3758	2,4382	-18,4657	-1,3951
232,5524	2,3339	-31,1609	-1,5777
178,3094	2,2035	-61,1676	-1,8124
117,1418	2,0471	-128,1058	-2,1514
62,8988	1,8124	-190,4275	-2,2557
20,7739	1,3951	-242,9393	-2,3600
0,0000	0,9518	-282,7560	-2,3861
-20,7739	-0,4042	0,0000	-0,7954
-57,7053	-1,6820	275,2543	2,3861
-116,5647	-2,0210	233,1294	2,2818
-171,3847	-2,1775	170,2306	2,1514
-240,6311	-2,3339	117,7188	1,9949
-288,5265	-2,3861	31,1609	0,8997
-21,9280	-0,5085	13,8493	-0,1695
-24,2362	-0,5607	20,7739	0,2217
-30,0068	-0,8736	54,2430	1,4473
-40,3937	-1,2126	78,4792	1,7602
-12,6952	0,2217		
